id,Name,division,d_index,metric,urban,mostly,rural,Expenditure_per_pupil,census,pct_frpl,pct_apib,pct_adv,pct_hisp,pct_ai_na,pct_asian,pct_black,pct_nwopi,pct_white,pct_2more,pct_rural,n_Advanced,n_ADV FRPL,n_ADV LEP,n_ADV NA,n_ADV Asian,n_ADV Black,n_ADV Latinx,n_ADV White,pct_nonwhite_adv
50,King William County,3,0.41429514,1.692307692,0,1,0,11620,15935,0.365998177,0.090701914,NA,0.026891522,0.019598906,0.006836828,0.159981768,4.56E-04,0.746581586,0.039653601,83.2,69,14,0,0,0,0,0,58,15.94202899
51,Lancaster County,3,0.553748697,1.384615385,0,0,1,14040,11391,0.60745234,0,NA,0.013864818,0.002599653,0.009532062,0.549393414,0.002599653,0.37694974,0.045060659,100,38,15,0,0,0,18,0,17,55.26315789
52,Lee County,7,0.058346336,1.538461538,0,1,0,12281,25587,0.602269243,0.053051211,NA,0.013186139,0.001533272,0.00275989,0.005519779,0,0.970254523,0.006746397,99.6,44,12,0,0,0,0,0,43,2.272727273
53,Loudoun County,4,0.681748793,2.923076923,1,0,0,14551,312311,0.190613228,0.112208979,NA,0.170950411,0.005125672,0.211276477,0.067078367,0.001086889,0.486815291,0.053603409,12.6,3810,359,0,10,660,233,419,2307,39.4488189
54,Louisa County,5,0.474990337,2.846153846,0,1,0,12325,33153,0.456734694,0.073469388,NA,0.051428571,0.00244898,0.007755102,0.16122449,0.001020408,0.700408163,0.075714286,100,175,54,0,0,0,32,0,126,28
55,Lunenburg County,8,0.616718292,1.846153846,0,1,0,10701,12914,0.657068063,0.045157068,NA,0.101439791,0.005235602,0.001963351,0.331806283,0.001308901,0.510471204,0.047774869,100,47,30,0,0,0,16,0,28,40.42553191
56,Madison County,4,0.383357816,1.923076923,0,0,1,12307,13308,0.437535331,0.096099491,NA,0.032221594,0,0.004522329,0.079706049,5.65E-04,0.777275297,0.071226682,100,66,0,0,0,0,0,0,54,18.18181818
57,Mathews County,3,0.302944161,1.769230769,0,0,1,12857,8978,0.470425139,0.090573013,NA,0.034195933,0.001848429,0.00831793,0.07948244,0,0.829020333,0.047134935,100,48,10,0,0,0,0,0,38,20.83333333
58,Mecklenburg County,8,0.589557453,1.846153846,0,1,0,11204,32727,0.624250807,0.105348087,NA,0.050253573,0.001152605,0.004840941,0.431765791,4.61E-04,0.468649147,0.042876902,77.8,163,66,0,0,0,0,0,94,42.33128834
59,Middlesex County,3,0.436457781,1.769230769,0,0,1,11495,10959,0.432684825,0.018677043,NA,0.034241245,0.00233463,0.004669261,0.171206226,0,0.727626459,0.059922179,100,33,24,0,0,0,0,0,26,21.21212121
60,Montgomery County,6,0.327578916,2.538461538,1,0,0,11204,94392,0.358127831,0.138500252,NA,0.052642174,0.001509814,0.038147962,0.042174132,2.01E-04,0.815198792,0.043180674,24.9,382,55,0,0,14,0,14,334,12.56544503
62,Nelson County,5,0.416387252,1.538461538,0,0,1,14366,15020,0.538257173,0.077045696,NA,0.068544102,0.002656748,0.006907545,0.127523911,0,0.748671626,0.045696068,100,79,28,0,0,0,0,0,64,18.98734177
63,New Kent County,1,0.387770232,1.846153846,0,0,1,9966,18429,0.204069051,0.051479655,NA,0.052404439,0.011405672,0.010480888,0.096794081,6.17E-04,0.772503083,0.055795314,100,138,0,0,0,0,14,0,107,22.46376812
65,Norton city,2,0.667487415,1.538461538,1,0,0,12445,3958,0.787787183,0.055622733,NA,0.209794438,0.00241838,0.009068924,0.436517533,6.05E-04,0.311366385,0.030229746,2.6,31,16,0,0,0,15,0,11,64.51612903
66,Northampton County,3,0.592205704,1.615384615,0,0,1,13452,12389,0.544901065,0.051750381,NA,0.066210046,0,0.00456621,0.407153729,0.002283105,0.48630137,0.03348554,100,39,0,0,0,0,10,0,27,30.76923077
67,Nottoway County,8,0.620586498,1.846153846,0,1,0,11349,15853,0.661157025,0.053962081,NA,0.089450656,0.003403014,0.005347594,0.418570734,4.86E-04,0.440933398,0.041808459,52.3,74,27,0,0,0,24,0,42,43.24324324
68,Orange County,4,0.50660979,2.384615385,0,1,0,10750,33481,0.42800789,0.053451677,NA,0.07199211,0.001183432,0.007889546,0.143195266,0.00433925,0.677514793,0.09270217,57.8,188,34,0,0,0,32,0,136,27.65957447
69,Page County,4,0.167472407,2.076923077,0,1,0,10494,24042,0.484848485,0.095959596,NA,0.034759358,8.91E-04,0.004456328,0.021390374,0.001188354,0.911170529,0.024658348,80.2,137,40,0,0,0,0,0,123,10.2189781
70,Patrick County,6,0.347075048,1.769230769,0,0,1,10593,18490,0.551812523,0.059685097,NA,0.073233248,0.001098499,0.012083486,0.072500915,0.002196997,0.800439399,0.038081289,100,84,20,0,0,0,0,0,66,21.42857143
71,Pittsylvania County,6,0.464387451,1.769230769,0,1,0,10133,63506,0.573508168,0.101122347,NA,0.045560618,6.67E-04,0.005000556,0.228358707,5.56E-04,0.693299255,0.026447383,85.6,313,112,0,0,0,70,11,227,27.47603834
72,Powhatan County,1,0.245968945,1.846153846,0,1,0,11032,28046,0.179194787,0.022108448,NA,0.036537119,0.002792646,0.005352572,0.053991157,0.001396323,0.865254829,0.032813591,99.7,197,0,0,0,0,10,0,177,10.15228426
73,Prince Edward County,NA,0.556183194,NA,0,1,0,12282,23368,0.634951456,0.090291262,NA,0.03592233,0.001456311,0.013106796,0.558737864,0.002912621,0.359708738,0.027669903,63.2,60,32,0,0,0,33,0,24,60
74,Prince George County,1,0.652142775,2.307692308,0,1,0,10645,35725,0.469974716,0.039823009,NA,0.117414665,0.003476612,0.009797724,0.315107459,0.007901391,0.47977244,0.066529709,53.4,221,49,0,0,0,68,16,125,43.43891403
75,Prince William County,4,0.738048632,4.538461538,1,0,0,11652,402002,0.4530824,0.081417297,NA,0.340504443,0.002318009,0.0860202,0.203951653,0.002019979,0.305811579,0.059009879,4.2,3107,670,0,0,340,574,579,1364,56.09913099
77,Pulaski County,7,0.286636063,1.692307692,1,0,0,11261,34872,0.502742666,0.090865729,NA,0.033388982,0.002861913,0.005008347,0.056999762,2.38E-04,0.839732888,0.061769616,46.9,140,41,0,0,0,0,0,128,8.571428571
78,Rappahannock County,4,0.260748052,1.461538462,0,0,1,14406,7373,0.330199765,0.089306698,NA,0.051703878,0.001175088,0.001175088,0.027027027,0,0.85546416,0.063454759,100,32,0,0,0,0,0,0,29,9.375
79,Richmond County,3,0.589431499,1,0,0,1,11097,9254,0.536308623,0.142965204,NA,0.118759455,7.56E-04,0.003782148,0.263237519,0,0.570347958,0.04311649,100,55,20,0,0,0,12,0,38,30.90909091
80,Roanoke County,6,0.376333646,2.076923077,1,0,0,10878,92376,0.320522783,0.13931473,NA,0.054609679,9.18E-04,0.043094313,0.071070293,6.36E-04,0.781985164,0.04768633,18.5,702,88,0,0,0,33,19,583,16.95156695
81,Rockbridge County,5,0.224488742,2.230769231,0,1,0,12205,22307,0.453036723,0.102048023,NA,0.043079096,0.002824859,0.004943503,0.03319209,0.001412429,0.878177966,0.036370056,91.6,110,13,0,0,0,0,0,97,11.81818182
81,Rockbridge County,8,0.224488742,2,0,1,0,12205,22307,0.453036723,0.102048023,NA,0.043079096,0.002824859,0.004943503,0.03319209,0.001412429,0.878177966,0.036370056,91.6,110,13,0,0,0,0,0,97,11.81818182
82,Rockingham County,5,0.362294766,1.538461538,0,1,0,11893,76314,0.402385383,0.070800203,NA,0.144645576,0.003891051,0.01260362,0.019962781,6.77E-04,0.784300457,0.032904754,59.3,509,86,0,0,0,0,48,429,15.71709234
83,Russell County,7,0.046332232,1.384615385,0,1,0,10849,28897,0.628593832,0.06769472,NA,0.009409305,7.84E-04,0.001306848,0.005227392,2.61E-04,0.976476738,0.006534239,88.2,107,34,0,0,0,0,0,105,1.869158879
84,Scott County,7,0.087484082,1.384615385,0,1,0,10508,23177,0.595882685,0.074168077,NA,0.022560632,5.64E-04,0.002538071,0.006204174,0,0.954878737,0.012972363,82.1,135,43,0,0,0,0,0,128,5.185185185
85,Shenandoah County,4,0.352135226,2.153846154,0,1,0,11108,41993,0.455714993,0.085931057,NA,0.138545275,0.002638958,0.005607785,0.030018143,4.95E-04,0.791687284,0.031007752,66.6,212,53,0,0,0,0,24,171,19.33962264
86,Smyth County,7,0.112682231,1.615384615,0,1,0,10859,32208,0.583389754,0.016474836,NA,0.030015798,4.51E-04,0.005642067,0.016023471,2.26E-04,0.941322501,0.006319115,75.3,149,36,0,0,0,0,0,144,3.355704698
87,Southampton County,2,0.541664541,2,0,1,0,11005,18570,0.547857143,0.008928571,NA,0.017857143,0.004285714,0.002857143,0.408571429,0.002857143,0.538928571,0.024642857,98,79,26,0,0,0,25,0,51,35.44303797
88,Spotsylvania County,3,0.620891771,2.076923077,1,0,0,10908,122397,0.40906418,0.112357191,NA,0.157804099,0.002100134,0.025201613,0.18359375,0.001512097,0.561491935,0.067708333,32.3,1034,175,0,0,33,179,104,666,35.58994197
89,Stafford County,3,0.679455668,2.307692308,1,0,0,10245,128961,0.350427644,0.077594202,NA,0.196784941,0.003091402,0.031497956,0.191014323,0.002610518,0.487548518,0.081372583,19.8,1444,222,0,0,52,228,210,839,41.89750693
90,Surry County,NA,0.539884323,NA,0,0,1,20799,7058,0.569444444,0.068181818,NA,0.02020202,0.001262626,0,0.580808081,0,0.345959596,0.051767677,100,31,23,0,0,0,19,0,11,64.51612903
91,Sussex County,1,0.410420953,1.538461538,0,0,1,17380,12087,0.44537037,0.037037037,NA,0.037962963,0,9.26E-04,0.737962963,0,0.208333333,0.012037037,100,35,29,0,0,0,25,0,0,100
92,Tazewell County,7,0.133837232,1.153846154,0,1,0,10060,45078,0.560365643,0.069851673,NA,0.007588824,3.45E-04,0.006898931,0.027768196,1.72E-04,0.92980338,0.027423249,51.9,165,46,0,0,0,0,0,157,4.848484848
93,Warren County,4,0.362165325,2.076923077,0,1,0,10625,37575,0.461353105,0.048007414,NA,0.071362373,0.003892493,0.011862836,0.054309546,7.41E-04,0.790732159,0.066172382,50.4,231,70,0,0,0,0,16,190,17.74891775
94,Washington County,7,0.149411959,1.615384615,0,1,0,10347,54876,0.557058093,0.084310749,NA,0.028977508,0.001379881,0.008555264,0.011591003,5.52E-04,0.921346764,0.025665793,71.7,264,73,0,0,0,0,0,252,4.545454545
95,Westmoreland County,NA,0.659910111,NA,0,1,0,15291,17454,0.693167702,0.039130435,NA,0.135403727,0.003726708,0.001242236,0.395652174,6.21E-04,0.401863354,0.060869565,78.8,51,31,0,0,0,21,0,23,54.90196078
96,Wise County,7,0.086936942,1.153846154,0,1,0,9832,41452,0.595744681,0.053019904,NA,0.009265614,5.15E-04,0.003431709,0.020590254,8.58E-04,0.955216198,0.010123542,56.7,174,73,0,0,0,0,0,162,6.896551724
97,Wythe County,7,0.156997532,1.307692308,0,1,0,10647,29235,0.492048193,0.050120482,NA,0.014939759,4.82E-04,0.005783133,0.041445783,9.64E-04,0.91686747,0.019518072,75.3,131,22,0,0,0,0,0,122,6.870229008
98,York County,2,0.607182476,1.538461538,1,0,0,10766,65187,0.233133141,0.119023477,NA,0.099602215,0.00288589,0.056625848,0.127291163,0.00421184,0.595195383,0.095936354,6.1,607,37,0,0,54,63,42,394,35.09060956
101,Alexandria city,4,0.713339129,2,1,0,0,17818,139993,0.621313758,0.08131882,0.355324074,0.365713201,0.002151626,0.05056322,0.274522212,0.001645361,0.272497152,0.027085179,0,307,144,0,0,27,86,72,105,65.7980456
102,Bristol city,7,0.357201256,2.076923077,1,0,0,11277,17835,0.585505966,0.044631021,0.435897436,0.034909412,0.002209456,0.009279717,0.093239063,0.001767565,0.792752983,0.065841803,0,68,20,0,0,0,0,0,60,11.76470588
103,Buena Vista city,5,0.212523812,1.230769231,1,0,0,10327,6650,0.510548523,0.080168776,0.519480519,0.018987342,0.010548523,0,0.051687764,0.001054852,0.885021097,0.032700422,3.9,40,34,0,0,0,0,0,35,12.5
104,Charlottesville city,5,0.695711029,2.461538462,1,0,0,17079,43435,0.555751822,0.139765953,0.503205128,0.119673217,0.001103996,0.066018989,0.345330095,2.21E-04,0.402737911,0.064473394,0,157,35,0,0,0,26,12,104,33.75796178
106,Colonial Heights city,1,0.571354027,1.923076923,1,0,0,13548,17411,0.537945641,0.066713731,0.630630631,0.068831627,3.53E-04,0.031768443,0.21284857,0.001764914,0.609954112,0.074479351,0,140,38,0,0,0,18,0,103,26.42857143
107,Covington city,6,0.403767514,1.153846154,1,0,0,11418,5961,0.444338725,0.055185538,0.462962963,0.044719315,0.003805899,0.005708849,0.139866794,0,0.756422455,0.049476689,0,25,0,0,0,0,0,0,20,20
108,Danville city,6,0.483976545,2.846153846,1,0,0,12374,43055,0.419869595,0.069663693,0.394607843,0.072923816,0.001715854,0.014070007,0.687199725,3.43E-04,0.193205216,0.03054221,4.5,161,37,0,0,0,76,16,63,60.86956522
109,Falls Church city,4,0.550459596,1.769230769,1,0,0,19087,12332,0.061567164,0.109701493,0.724489796,0.138432836,0.001492537,0.07238806,0.034701493,3.73E-04,0.641791045,0.109701493,0,142,0,0,0,18,0,15,93,34.50704225
110,Fredericksburg city,3,0.728903362,2.692307692,1,0,0,13775,24286,0.505114736,0.002764722,0.429951691,0.232513132,0.002211778,0.055847387,0.344760852,0.001382361,0.30218413,0.061100359,1.2,89,32,0,0,0,34,10,39,56.17977528
111,Galax city,7,0.541435721,1.615384615,1,0,0,11547,7042,0.638248848,0.051459293,0.303030303,0.297235023,0.003072197,0.006912442,0.065284178,0,0.604454685,0.023041475,13.7,30,10,0,0,0,0,0,21,30
112,Hampton city,2,0.575759337,1.769230769,1,0,0,11411,137467,0.490683542,0.074129878,0.397186872,0.067349706,0.003264527,0.017528,0.598312491,0.001456481,0.23584953,0.076038371,0.2,593,210,0,0,23,322,25,177,70.15177066
113,Harrisonburg city,5,0.635914357,2.461538462,1,0,0,12827,48914,0.693858118,0.075702269,0.505882353,0.466592604,6.35E-04,0.028725599,0.09712744,1.59E-04,0.36676718,0.039993652,0,215,103,0,0,0,24,72,105,51.1627907
114,Hopewell city,1,0.5943369,1.923076923,1,0,0,11476,22591,0.815795533,0.066083353,NA,0.096246834,0.003684089,0.004374856,0.571264103,9.21E-04,0.255813953,0.067695142,0,119,56,0,0,0,53,0,46,61.34453782
115,Lynchburg city,5,0.63538076,2.230769231,1,0,0,12969,75568,0.605001185,0.097890495,NA,0.062929604,0.004147902,0.020265466,0.491704195,9.48E-04,0.334320929,0.081772932,2.7,258,65,0,0,0,82,0,148,42.63565891
116,Martinsville city,6,0.579851761,1.769230769,1,0,0,12884,13821,0.589285714,0.105654762,NA,0.117559524,0.001984127,0.012896825,0.594246032,0,0.225198413,0.048115079,0,69,35,0,0,0,36,0,22,68.11594203
117,Newport News city,2,0.636292327,1.769230769,1,0,0,11947,180966,0.520046019,0.074327151,NA,0.131815646,0.003277088,0.024752475,0.533642449,0.003381676,0.238146702,0.064879375,0,794,286,0,0,44,370,83,275,65.36523929
118,Norfolk city,2,0.582917891,2,1,0,0,11853,242803,0.651508754,0.066196771,NA,0.094293046,0.003767824,0.023354013,0.597687336,0.002793387,0.215610485,0.06249391,0,588,212,0,0,33,249,41,213,63.7755102
