LEA_NAME,SCHID,SCH_NAME,SCH_APCOURSES
FAIRFAX CO PBLC SCHS,00561,Robinson Secondary,6
FAIRFAX CO PBLC SCHS,00566,South Lakes High,2
FAIRFAX CO PBLC SCHS,00572,Interagency Alternative Secondary Center,1
FAIRFAX CO PBLC SCHS,00585,West Springfield High,26
FAIRFAX CO PBLC SCHS,00600,Woodson High,22
FAIRFAX CO PBLC SCHS,01099,Mountain View High,1
FAIRFAX CO PBLC SCHS,01103,ALC at Bryant,1
FAIRFAX CO PBLC SCHS,01106,ALC at Mountain View,1
FAIRFAX CO PBLC SCHS,02034,Thomas Jefferson High School for Science and Technology,23
FAIRFAX CO PBLC SCHS,02114,Centreville High,23
FAIRFAX CO PBLC SCHS,02436,South County High,21
FAIRFAX CO PBLC SCHS,02529,Westfield High,29
FALLS CHURCH CITY PBLC SCHS,00283,George Mason High,7
FAUQUIER CO PBLC SCHS,00607,Fauquier High,22
FAUQUIER CO PBLC SCHS,00854,Liberty High,24
FAUQUIER CO PBLC SCHS,02785,Kettle Run High,25
FLOYD CO PBLC SCHS,00618,Floyd County High,27
FLUVANNA CO PBLC SCHS,00625,Fluvanna County High,21
FRANKLIN CITY PBLC SCHS,00628,Franklin High,8
FRANKLIN CO PBLC SCHS,00637,Franklin County High,19
FREDERICK CO PBLC SCHS,00524,Sherando High,21
FREDERICK CO PBLC SCHS,00652,James Wood High,22
FREDERICK CO PBLC SCHS,02337,Millbrook High,17
FREDERICKSBURG CITY PBLC SCHS,00661,James Monroe High,16
GALAX CITY PUBLIC SCHOOLS,00301,Galax High,5
GILES CO PBLC SCHS,00669,Giles High,4
GLOUCESTER CO PBLC SCHS,00680,Gloucester High,16
GOOCHLAND CO PBLC SCHS,00686,Goochland High,23
GREENE CO PBLC SCHS,00702,William Monroe High,16
HALIFAX CO PBLC SCHS,01848,Halifax County High,6
HAMPTON CITY PBLC SCHS,00731,Bethel High,25
HAMPTON CITY PBLC SCHS,00742,Hampton High,32
HAMPTON CITY PBLC SCHS,00747,Kecoughtan High,22
HAMPTON CITY PBLC SCHS,00755,Phoebus High,12
HANOVER CO PBLC SCHS,00114,Atlee High,18
HANOVER CO PBLC SCHS,00772,Lee Davis High,18
HANOVER CO PBLC SCHS,00776,Patrick Henry High,18
HANOVER CO PBLC SCHS,02338,Hanover High,18
HANOVER CO PBLC SCHS,02691,The Georgetown School,18
HARRISONBURG CITY PBLC SCHS,00782,Harrisonburg High,28
HENRICO CO PBLC SCHS,00795,Douglas S. Freeman High,20
HENRICO CO PBLC SCHS,00804,Henrico High,16
HENRICO CO PBLC SCHS,00806,Hermitage High,14
HENRICO CO PBLC SCHS,00809,Highland Springs High,14
HENRICO CO PBLC SCHS,00811,John Randolph Tucker High,15
HENRICO CO PBLC SCHS,00835,Varina High,11
HENRICO CO PBLC SCHS,01851,Mills E. Godwin High,20
HENRICO CO PBLC SCHS,02278,Deep Run High,16
HENRICO CO PBLC SCHS,02837,Glen Allen High,16
HENRY CO PBLC SCHS,00837,Bassett High,4
HENRY CO PBLC SCHS,02125,Magna Vista High,3
HIGHLAND CO PBLC SCHS,00862,Highland High,4
HOPEWELL CITY PBLC SCHS,00867,Hopewell High,7
ISLE OF WIGHT CO PBLC SCHS,00875,Smithfield High,13
ISLE OF WIGHT CO PBLC SCHS,00877,Windsor High,8
KING AND QUEEN CO PBLC SCHS,00878,Central High,8
KING GEO CO PBLC SCHS,00882,King George High,37
KING WILLIAM CO PBLC SCHS,00886,King William High,7
LANCASTER CO PBLC SCHS,00887,Lancaster High,2
LOUDOUN CO PBLC SCHS,00913,Broad Run High,22
LOUDOUN CO PBLC SCHS,00923,Loudoun County High,22
LOUDOUN CO PBLC SCHS,00924,Loudoun Valley High,23
LOUDOUN CO PBLC SCHS,00928,Park View High,20
LOUDOUN CO PBLC SCHS,01627,Potomac Falls High,21
LOUDOUN CO PBLC SCHS,02285,Heritage High,21
LOUDOUN CO PBLC SCHS,02411,Dominion High,21
LOUDOUN CO PBLC SCHS,02447,Freedom High,22
LOUDOUN CO PBLC SCHS,02451,Briar Woods High,22
LOUDOUN CO PBLC SCHS,02538,Stone Bridge High,21
LOUDOUN CO PBLC SCHS,02812,Woodgrove High,22
LOUDOUN CO PBLC SCHS,02817,Tuscarora High,23
LOUDOUN CO PBLC SCHS,02865,John Champe High School,22
LOUDOUN CO PBLC SCHS,02969,Rock Ridge High,22
LOUDOUN CO PBLC SCHS,03001,Riverside High,22
LOUISA CO PBLC SCHS,00939,Louisa County High,10
LUNENBURG CO PBLC SCHS,00944,Central High,4
LYNCHBURG CITY PBLC SCHS,00956,E.C. Glass High,26
LYNCHBURG CITY PBLC SCHS,00960,Heritage High,16
MANASSAS CITY PBLC SCHS,00978,Osbourn High,24
MADISON CO PBLC SCHS,00972,Madison County High,11
MANASSAS PARK CITY PBLC SCHS,00983,Manassas Park High,17
MARTINSVILLE CITY PBLC SCHS,00988,Martinsville High,6
MATHEWS CO PBLC SCHS,00993,Mathews High,6
MIDDLESEX CO PBLC SCHS,01012,Middlesex High,13
MONTGOMERY CO PBLC SCHS,01013,Auburn High,11
MONTGOMERY CO PBLC SCHS,01016,Blacksburg High,37
MONTGOMERY CO PBLC SCHS,01019,Christiansburg High,17
MONTGOMERY CO PBLC SCHS,02541,Eastern Montgomery High,5
NELSON CO PBLC SCHS,01032,Nelson County High,10
NEW KENT CO PBLC SCHS,02156,New Kent High,14
NEWPORT NEWS CITY PBLC SCHS,01047,Denbigh High,13
NEWPORT NEWS CITY PBLC SCHS,01063,Menchville High,23
NEWPORT NEWS CITY PBLC SCHS,01076,Warwick High,16
NEWPORT NEWS CITY PBLC SCHS,01451,Heritage High,14
NEWPORT NEWS CITY PBLC SCHS,01453,Woodside High,22
NEWPORT NEWS CITY PBLC SCHS,02344,Achievable Dream Middle/High,9
NORFOLK CITY PBLC SCHS,01079,Booker T Washington High,10
NORFOLK CITY PBLC SCHS,01098,Granby High,42
NORFOLK CITY PBLC SCHS,01104,Lake Taylor High,8
NORFOLK CITY PBLC SCHS,01117,Matthew Fontaine Maury High,20
NORFOLK CITY PBLC SCHS,01122,Norview High,18
NORTHAMPTON CO PBLC SCHS,01155,Northampton High,6
NORTHUMBERLAND CO PBLC SCHS,01159,Northumberland High,4
ORANGE CO PBLC SCHS,01174,Orange County High,14
PAGE CO PBLC SCHS,01180,Luray High,5
PAGE CO PBLC SCHS,01181,Page County High,2
PATRICK CO PBLC SCHS,01188,Patrick County High,13
PETERSBURG CITY PBLC SCHS,01198,Petersburg High,1
PITTSYLVANIA CO PBLC SCHS,01210,Chatham High,7
PITTSYLVANIA CO PBLC SCHS,01214,Dan River High,14
PITTSYLVANIA CO PBLC SCHS,01218,Gretna High,27
