School,SCHID,LEA,apcount,schpop,APSAI
Southampton High,01582,SOUTHAMPTON CO PBLC SCHS,11,837,76.0909090909091
Massaponax High,01881,SPOTSYLVANIA CO PBLC SCHS,26,2011,77.34615384615384
Floyd Kellam High,01685,VA BEACH CITY PBLC SCHS,26,2019,77.65384615384616
Thomas Jefferson High School for Science and Technology,02034,FAIRFAX CO PBLC SCHS,23,1787,77.69565217391305
Falls Church High,00468,FAIRFAX CO PBLC SCHS,27,2108,78.07407407407408
James River High,00171,BOTETOURT CO PBLC SCHS,7,548,78.28571428571429
Potomac Falls High,01627,LOUDOUN CO PBLC SCHS,21,1666,79.33333333333333
Stone Bridge High,02538,LOUDOUN CO PBLC SCHS,21,1670,79.52380952380952
George Washington High,00390,DANVILLE CITY PBLC SCHS,17,1355,79.70588235294117
Forest Park High,02542,PRINCE WILLIAM CO PBLC SCHS,27,2160,80
Briar Woods High,02451,LOUDOUN CO PBLC SCHS,22,1764,80.18181818181819
Colonial Heights High,00361,COLONIAL HEIGHTS CITY PBLC SCHS,11,888,80.72727272727273
Salem High,02166,VA BEACH CITY PBLC SCHS,21,1701,81
Oakton High,00550,FAIRFAX CO PBLC SCHS,32,2629,82.15625
Lee Davis High,00772,HANOVER CO PBLC SCHS,18,1483,82.38888888888889
Matthew Fontaine Maury High,01117,NORFOLK CITY PBLC SCHS,20,1649,82.45
Landstown High,02323,VA BEACH CITY PBLC SCHS,26,2149,82.65384615384616
Phoebus High,00755,HAMPTON CITY PBLC SCHS,12,995,82.91666666666667
Fairfax High,00463,FAIRFAX CO PBLC SCHS,28,2325,83.03571428571429
Washington-Lee High,00112,ARLINGTON CO PBLC SCHS,26,2183,83.96153846153847
West Springfield High,00585,FAIRFAX CO PBLC SCHS,26,2191,84.26923076923077
Powhatan High,01268,POWHATAN CO PBLC SCHS,17,1446,85.05882352941177
Millbrook High,02337,FREDERICK CO PBLC SCHS,17,1451,85.3529411764706
Albemarle High,00015,ALBEMARLE CO PBLC SCHS,23,1987,86.3913043478261
Strasburg High,01549,SHENANDOAH CO PBLC SCHS,7,605,86.42857142857143
Woodside High,01453,NEWPORT NEWS CITY PBLC SCHS,22,1912,86.9090909090909
Quander Road School,00558,FAIRFAX CO PBLC SCHS,1,87,87
Chatham High,01210,PITTSYLVANIA CO PBLC SCHS,7,609,87
Atlee High,00114,HANOVER CO PBLC SCHS,18,1568,87.11111111111111
Douglas S. Freeman High,00795,HENRICO CO PBLC SCHS,20,1745,87.25
Freedom High,02447,LOUDOUN CO PBLC SCHS,22,1921,87.31818181818181
Rockbridge County High,00204,ROCKBRIDGE CO PBLC SCHS,11,966,87.81818181818181
John S. Battle High,01746,WASHINGTON CO PBLC SCHS,7,617,88.14285714285714
Craig County High,02111,CRAIG CO PBLC SCHS,4,353,88.25
Heritage High,01451,NEWPORT NEWS CITY PBLC SCHS,14,1236,88.28571428571429
Tallwood High,00434,VA BEACH CITY PBLC SCHS,22,1944,88.36363636363636
Rock Ridge High,02969,LOUDOUN CO PBLC SCHS,22,1949,88.5909090909091
Mills E. Godwin High,01851,HENRICO CO PBLC SCHS,20,1795,89.75
Western Branch High,00312,CHESAPEAKE CITY PBLC SCHS,23,2074,90.17391304347827
Alleghany High,01883,ALLEGHANY CO PBLC SCHS,8,723,90.375
Booker T Washington High,01079,NORFOLK CITY PBLC SCHS,10,906,90.6
Westfield High,02529,FAIRFAX CO PBLC SCHS,29,2639,91
Osbourn High,00978,MANASSAS CITY PBLC SCHS,24,2185,91.04166666666667
Washington & Lee High,01768,WESTMORELAND CO PBLC SCHS,5,456,91.2
Galax High,00301,GALAX CITY PUBLIC SCHOOLS,5,457,91.4
Patrick Henry High,01430,ROANOKE CITY PBLC SCHS,20,1848,92.4
Grassfield High,02765,CHESAPEAKE CITY PBLC SCHS,24,2221,92.54166666666667
Madison High,00532,FAIRFAX CO PBLC SCHS,24,2222,92.58333333333333
John Champe High School,02865,LOUDOUN CO PBLC SCHS,22,2047,93.04545454545455
John Handley High School,01780,WINCHESTER CITY PBLC SCHS,14,1317,94.07142857142857
Warwick High,01076,NEWPORT NEWS CITY PBLC SCHS,16,1511,94.4375
Manchester High,00056,CHESTERFIELD CO PBLC SCHS,21,2008,95.61904761904762
John Marshall High,02080,RICHMOND CITY PBLC SCHS,7,671,95.85714285714286
Martinsville High,00988,MARTINSVILLE CITY PBLC SCHS,6,581,96.83333333333333
Smithfield High,00875,ISLE OF WIGHT CO PBLC SCHS,13,1262,97.07692307692308
Herndon High,00495,FAIRFAX CO PBLC SCHS,24,2336,97.33333333333333
West Potomac High,00489,FAIRFAX CO PBLC SCHS,26,2587,99.5
Cosby High,02661,CHESTERFIELD CO PBLC SCHS,22,2190,99.54545454545455
Matoaca High,00340,CHESTERFIELD CO PBLC SCHS,17,1707,100.41176470588235
Orange County High,01174,ORANGE CO PBLC SCHS,14,1420,101.42857142857143
King William High,00886,KING WILLIAM CO PBLC SCHS,7,713,101.85714285714286
Brentsville District High,01288,PRINCE WILLIAM CO PBLC SCHS,10,1019,101.9
Central High,00944,LUNENBURG CO PBLC SCHS,4,408,102
Denbigh High,01047,NEWPORT NEWS CITY PBLC SCHS,13,1345,103.46153846153847
Norview High,01122,NORFOLK CITY PBLC SCHS,18,1873,104.05555555555556
Luray High,01180,PAGE CO PBLC SCHS,5,522,104.4
South County High,02436,FAIRFAX CO PBLC SCHS,21,2194,104.47619047619048
Prince Edward County High,01271,PRINCE EDWARD CO PBLC SCHS,6,630,105
Lloyd C. Bird High,00337,CHESTERFIELD CO PBLC SCHS,18,1892,105.11111111111111
Sussex Central High,01643,SUSSEX CO PBLC SCHS,3,316,105.33333333333333
William Campbell High,00233,CAMPBELL CO PBLC SCHS,4,423,105.75
Henrico High,00804,HENRICO CO PBLC SCHS,16,1703,106.4375
Chantilly High,00059,FAIRFAX CO PBLC SCHS,26,2775,106.73076923076923
Deep Run High,02278,HENRICO CO PBLC SCHS,16,1720,107.5
Northumberland High,01159,NORTHUMBERLAND CO PBLC SCHS,4,431,107.75
Indian River High,00299,CHESAPEAKE CITY PBLC SCHS,15,1622,108.13333333333334
Battlefield High,02457,PRINCE WILLIAM CO PBLC SCHS,27,2940,108.88888888888889
Franklin County High,00637,FRANKLIN CO PBLC SCHS,19,2076,109.26315789473684
Glen Allen High,02837,HENRICO CO PBLC SCHS,16,1753,109.5625
Bayside High,01675,VA BEACH CITY PBLC SCHS,17,1870,110
Gloucester High,00680,GLOUCESTER CO PBLC SCHS,16,1761,110.0625
Centreville High,02114,FAIRFAX CO PBLC SCHS,23,2564,111.47826086956522
Woodson High,00600,FAIRFAX CO PBLC SCHS,22,2455,111.5909090909091
Prince George High,01280,PRINCE GEORGE CO PBLC SCHS,12,1376,114.66666666666667
John Randolph Tucker High,00811,HENRICO CO PBLC SCHS,15,1737,115.8
Hayfield Secondary,00493,FAIRFAX CO PBLC SCHS,25,2914,116.56
Appomattox Regional Governor's School,01932,APPOMATTOX REGIONAL GOV SCH,3,351,117
Hermitage High,00806,HENRICO CO PBLC SCHS,14,1643,117.35714285714286
George Mason High,00283,FALLS CHURCH CITY PBLC SCHS,7,827,118.14285714285714
Meadowbrook High,00342,CHESTERFIELD CO PBLC SCHS,15,1803,120.2
Osbourn Park High,01313,PRINCE WILLIAM CO PBLC SCHS,18,2166,120.33333333333333
Covington High,00367,COVINGTON CITY PBLC SCHS,3,365,121.66666666666667
Oscar F. Smith High,00303,CHESAPEAKE CITY PBLC SCHS,18,2194,121.88888888888889
Woodbridge High,01327,PRINCE WILLIAM CO PBLC SCHS,21,2574,122.57142857142857
Charles J. Colgan Sr. High,03025,PRINCE WILLIAM CO PBLC SCHS,18,2262,125.66666666666667
C.D. Hylton High,00186,PRINCE WILLIAM CO PBLC SCHS,18,2280,126.66666666666667
Lakeland High,02219,SUFFOLK CITY PBLC SCHS,8,1033,129.125
Highland Springs High,00809,HENRICO CO PBLC SCHS,14,1827,130.5
Thomas Dale High,00350,CHESTERFIELD CO PBLC SCHS,18,2357,130.94444444444446
Lake Braddock Secondary,00516,FAIRFAX CO PBLC SCHS,32,4254,132.9375
Chilhowie High,01558,SMYTH CO PBLC SCHS,3,402,134
Patriot High,02850,PRINCE WILLIAM CO PBLC SCHS,20,2701,135.05
Essex High,00419,ESSEX CO PBLC SCHS,4,549,137.25
Varina High,00835,HENRICO CO PBLC SCHS,11,1524,138.54545454545453
Nansemond River High,02218,SUFFOLK CITY PBLC SCHS,11,1553,141.1818181818182
Churchland High,00375,PORTSMOUTH CITY PBLC SCHS,10,1419,141.9
Louisa County High,00939,LOUISA CO PBLC SCHS,10,1468,146.8
T.C. Williams High,00054,ALEXANDRIA CITY PBLC SCHS,27,3974,147.1851851851852
Lake Taylor High,01104,NORFOLK CITY PBLC SCHS,8,1218,152.25
Brooke Point High,00591,STAFFORD CO PBLC SCHS,12,1862,155.16666666666666
Hopewell High,00867,HOPEWELL CITY PBLC SCHS,7,1111,158.71428571428572
Mountain View High,02464,STAFFORD CO PBLC SCHS,11,1777,161.54545454545453
Freedom High,02458,PRINCE WILLIAM CO PBLC SCHS,14,2276,162.57142857142858
Giles High,00669,GILES CO PBLC SCHS,4,658,164.5
Potomac High,01857,PRINCE WILLIAM CO PBLC SCHS,11,1957,177.9090909090909
Amelia County High,01828,AMELIA CO PBLC SCHS,3,548,182.66666666666666
Lancaster High,00887,LANCASTER CO PBLC SCHS,2,366,183
Dinwiddie County High,00410,DINWIDDIE CO PBLC SCHS,7,1299,185.57142857142858
Pulaski County Senior High,01338,PULASKI CO PBLC SCHS,7,1309,187
Ridgeview High School,02981,DICKENSON CO PBLC SCHS,3,583,194.33333333333334
William Fleming High,01438,ROANOKE CITY PBLC SCHS,8,1575,196.875
Interagency Alternative Secondary Center,00572,FAIRFAX CO PBLC SCHS,1,200,200
Bath County High,00139,BATH CO PBLC SCHS,1,208,208
Lee High,00521,FAIRFAX CO PBLC SCHS,8,1740,217.5
I.C. Norcom High,01250,PORTSMOUTH CITY PBLC SCHS,5,1094,218.8
Carver College and Career Academy,01605,CHESTERFIELD CO PBLC SCHS,1,253,253
Halifax County High,01848,HALIFAX CO PBLC SCHS,6,1525,254.16666666666666
Mountain View High,01099,FAIRFAX CO PBLC SCHS,1,256,256
Page County High,01181,PAGE CO PBLC SCHS,2,553,276.5
Woodrow Wilson High,01255,PORTSMOUTH CITY PBLC SCHS,5,1393,278.6
Buckingham County High,00210,BUCKINGHAM CO PBLC SCHS,2,565,282.5
Bassett High,00837,HENRY CO PBLC SCHS,4,1150,287.5
King's Fork High,02426,SUFFOLK CITY PBLC SCHS,5,1501,300.2
Charles City County High,00258,CHARLES CITY CO PBLC SCHS,1,305,305
Lebanon High,02042,RUSSELL CO PBLC SCHS,2,610,305
Armstrong High,02082,RICHMOND CITY PBLC SCHS,3,932,310.6666666666667
Arcadia High,02028,ACCOMACK CO PBLC SCHS,2,623,311.5
Mount Vernon High,00542,FAIRFAX CO PBLC SCHS,6,2028,338
Edison High,00461,FAIRFAX CO PBLC SCHS,6,2058,343
Magna Vista High,02125,HENRY CO PBLC SCHS,3,1062,354
Annandale High,00423,FAIRFAX CO PBLC SCHS,6,2131,355.1666666666667
Stonewall Jackson High,01321,PRINCE WILLIAM CO PBLC SCHS,7,2548,364
Franklin Military Academy,02214,RICHMOND CITY PBLC SCHS,1,368,368
George Wythe High,02081,RICHMOND CITY PBLC SCHS,3,1183,394.3333333333333
Eastside High,01786,WISE CO PBLC SCHS,1,404,404
Salem High,02043,SALEM CITY PBLC SCHS,3,1293,431
Honaker High,01522,RUSSELL CO PBLC SCHS,1,439,439
Robinson Secondary,00561,FAIRFAX CO PBLC SCHS,6,3864,644
Stuart High,00505,FAIRFAX CO PBLC SCHS,3,2177,725.6666666666666
Marshall High,00535,FAIRFAX CO PBLC SCHS,3,2237,745.6666666666666
Petersburg High,01198,PETERSBURG CITY PBLC SCHS,1,910,910
Gar-Field High,01299,PRINCE WILLIAM CO PBLC SCHS,2,2432,1216
South Lakes High,00566,FAIRFAX CO PBLC SCHS,2,2459,1229.5
Huguenot High,02083,RICHMOND CITY PBLC SCHS,1,1350,1350
Murray High,00030,ALBEMARLE CO PBLC SCHS,NA,102,NA
Altern Ed Prgm/Behav Disord Youth/Montgomery,02353,ALT ED PRGM/BEHAV DISORD YOUTH/MONTGOMERY,NA,177,NA
Technical Education & Career Center,00109,ARLINGTON CO PBLC SCHS,NA,162,NA
New Directions Alternative H.S. Program,02860,ARLINGTON CO PBLC SCHS,NA,33,NA
Arlington Community High,02875,ARLINGTON CO PBLC SCHS,NA,168,NA
Langston High Continuation Program,02944,ARLINGTON CO PBLC SCHS,NA,92,NA
Bland County High,03009,BLAND CO PBLC SCHS,NA,383,NA
Breaking Barriers Alternative Ed/Henry Co,02369,BREAKING BARRIERS ALTERNATIVE ED/HENRY CO,NA,12,NA
Brunswick High,00183,BRUNSWICK CO PBLC SCHS,NA,466,NA
Council High,00193,BUCHANAN CO PBLC SCHS,NA,135,NA
Grundy High,00198,BUCHANAN CO PBLC SCHS,NA,412,NA
Hurley High,00200,BUCHANAN CO PBLC SCHS,NA,227,NA
Twin Valley High,01947,BUCHANAN CO PBLC SCHS,NA,230,NA
Cornerstone Learning Center,02332,CAMPBELL CO PBLC SCHS,NA,72,NA
Carroll-Galax Reg Alt Ed Prgm/The RAE Ctr,02370,CARROLL-GALAX REG ALT ED PRGM/THE RAE CENTER,NA,18,NA
Randolph-Henry High,00270,CHARLOTTE CO PBLC SCHS,NA,531,NA
Charlottesville Alternative,02550,CHARLOTTESVILLE CTY PBLC SCHS,NA,28,NA
Crossroads Alternative/Bristol City,02357,CROSSROADS ALTERNATIVE/BRISTOL CITY,NA,10,NA
Cumberland High,00057,CUMBERLAND CO PBLC SCHS,NA,418,NA
Yvonne B. Miller High School,02967,DEPARTMENT OF JUVENILE JUSTICE,NA,NA,NA
Northern Virginia Juvenile Detention Home,02376,DOE SOP EDUC PROGRAMS,NA,NA,NA
Highlands Juvenile Detention Home,02377,DOE SOP EDUC PROGRAMS,NA,NA,NA
Blue Ridge Juvenile Detention Home,02378,DOE SOP EDUC PROGRAMS,NA,NA,NA
Tidewater Juvenile Detention Home - Chesapeake,02379,DOE SOP EDUC PROGRAMS,NA,NA,NA
Chesterfield Juvenile Detention Home,02380,DOE SOP EDUC PROGRAMS,NA,NA,NA
W.W. Moore Jr. Juvenile Detention Home,02382,DOE SOP EDUC PROGRAMS,NA,NA,NA
Fairfax Juvenile Detention Home,02383,DOE SOP EDUC PROGRAMS,NA,NA,NA
Henrico Juvenile Detention Home - James River,02386,DOE SOP EDUC PROGRAMS,NA,NA,NA
Loudoun Co. Juvenile Detention Home,02388,DOE SOP EDUC PROGRAMS,NA,NA,NA
Lynchburg Juvenile Detention Home,02389,DOE SOP EDUC PROGRAMS,NA,NA,NA
New River Valley Juvenile Detention Home,02390,DOE SOP EDUC PROGRAMS,NA,NA,NA
Newport News Juvenile Detention Home,02391,DOE SOP EDUC PROGRAMS,NA,NA,NA
Norfolk Juvenile Detention Center,02392,DOE SOP EDUC PROGRAMS,NA,NA,NA
