School,SCHID,LEA,class,dindex,pctwhite,pctblack,schoolsum,pctlatinx
Amelia County High,01828,AMELIA CO PBLC SCHS,alg11112,0.6944444444444444,0.2,0.2,6,NA
Amelia County High,01828,AMELIA CO PBLC SCHS,alg10910,0.6016663996154463,0.6714285714285714,0.2285714285714286,79,NA
Amelia County High,01828,AMELIA CO PBLC SCHS,chem,0.5351080246913581,0.625,0.2638888888888889,72,0.05555555555555555
Amelia County High,01828,AMELIA CO PBLC SCHS,bio,0.524140625,0.63125,0.26875,160,0.06875
Amelia County High,01828,AMELIA CO PBLC SCHS,gate,0.41455078125,0.75,0.125,64,NA
Amelia County High,01828,AMELIA CO PBLC SCHS,apany,0.30367346938775497,0.8285714285714286,0.08571428571428572,35,0
Amelia County High,01828,AMELIA CO PBLC SCHS,alg2,0.3522448979591837,0.7857142857142857,0.17142857142857143,70,0.014285714285714285
Amelia County High,01828,AMELIA CO PBLC SCHS,enr,0.5113218605146785,0.6551094890510949,0.23357664233576642,548,0.04927007299270073
Amherst County High,00065,AMHERST CO PBLC SCHS,alg11112,NaN,NaN,NaN,0,NA
Amherst County High,00065,AMHERST CO PBLC SCHS,alg10910,0.7064569241723033,0.6023391812865497,0.28654970760233917,212,NA
Amherst County High,00065,AMHERST CO PBLC SCHS,chem,0.4594828559599533,0.7116564417177914,0.17177914110429449,163,0.04294478527607362
Amherst County High,00065,AMHERST CO PBLC SCHS,bio,0.541887379888251,0.6203866432337434,0.2565905096660808,569,0.03690685413005272
Amherst County High,00065,AMHERST CO PBLC SCHS,gate,0.29111531190926276,0.8369565217391305,0.03260869565217391,92,NA
Amherst County High,00065,AMHERST CO PBLC SCHS,apany,0.4845136834319527,0.6923076923076923,0.17307692307692307,208,0.0625
Amherst County High,00065,AMHERST CO PBLC SCHS,alg2,0.45812164319930326,0.7108433734939759,0.18072289156626506,166,0.03614457831325301
Amherst County High,00065,AMHERST CO PBLC SCHS,enr,0.5080596058323985,0.6573839662447257,0.23459915611814347,1185,0.035443037974683546
Appomattox County High,00076,APPOMATTOX CO PBLC SCHS,alg11112,NaN,NaN,NaN,0,NA
Appomattox County High,00076,APPOMATTOX CO PBLC SCHS,alg10910,0.6816460905349793,0.5714285714285715,0.36607142857142855,135,NA
Appomattox County High,00076,APPOMATTOX CO PBLC SCHS,chem,0.4406779661016951,0.7203389830508474,0.19491525423728814,118,0.025423728813559324
Appomattox County High,00076,APPOMATTOX CO PBLC SCHS,bio,0.48753090565001067,0.6795580110497238,0.20994475138121546,181,0.022099447513812154
Appomattox County High,00076,APPOMATTOX CO PBLC SCHS,gate,0.1765752936988253,0.9056603773584906,0.03773584905660377,53,NA
Appomattox County High,00076,APPOMATTOX CO PBLC SCHS,apany,0.38979591836734695,0.7714285714285715,0.08571428571428572,70,0.02857142857142857
Appomattox County High,00076,APPOMATTOX CO PBLC SCHS,alg2,0.37286423701708615,0.7798165137614679,0.11926605504587157,109,0.01834862385321101
Appomattox County High,00076,APPOMATTOX CO PBLC SCHS,enr,0.5003755102040816,0.6614285714285715,0.23857142857142857,700,0.025714285714285714
Technical Education & Career Center,00109,ARLINGTON CO PBLC SCHS,alg11112,0.7933884297520661,0,0,11,NA
Technical Education & Career Center,00109,ARLINGTON CO PBLC SCHS,alg10910,0.7954632833525567,0.038461538461538464,0.038461538461538464,51,NA
Technical Education & Career Center,00109,ARLINGTON CO PBLC SCHS,chem,0.375,0.25,0,4,0.75
Technical Education & Career Center,00109,ARLINGTON CO PBLC SCHS,bio,0.54,0.05,0.1,20,0.65
Technical Education & Career Center,00109,ARLINGTON CO PBLC SCHS,gate,0,0,0,2,NA
Technical Education & Career Center,00109,ARLINGTON CO PBLC SCHS,alg2,0.6591999999999999,0.33999999999999997,0.07999999999999999,50,0.4599999999999999
Technical Education & Career Center,00109,ARLINGTON CO PBLC SCHS,enr,0.5161560737692427,0.13580246913580246,0.08641975308641975,162,0.6728395061728395
Wakefield High,00111,ARLINGTON CO PBLC SCHS,alg11112,0.8904320987654322,0.2222222222222222,0.1111111111111111,36,NA
Wakefield High,00111,ARLINGTON CO PBLC SCHS,alg10910,0.8752965351331483,0.11282051282051281,0.23589743589743592,346,NA
Wakefield High,00111,ARLINGTON CO PBLC SCHS,chem,0.7412402727370878,0.2564841498559078,0.20461095100864554,347,0.3688760806916426
Wakefield High,00111,ARLINGTON CO PBLC SCHS,bio,0.7148459335575028,0.24926686217008798,0.20527859237536658,682,0.4149560117302053
Wakefield High,00111,ARLINGTON CO PBLC SCHS,gate,0.7278592249657064,0.41435185185185186,0.12731481481481483,432,NA
Wakefield High,00111,ARLINGTON CO PBLC SCHS,apany,0.75230634755463055,0.3096774193548387,0.1754838709677419,775,0.31870967741935485
