LEA_STATE,LEA_STATE_NAME,LEAID,LEA_NAME,SCHID,SCH_NAME,COMBOKEY,JJ,SCH_FTETEACH_TOT,SCH_FTETEACH_CERT,SCH_FTETEACH_NOTCERT,SCH_FTETEACH_FY,SCH_FTETEACH_SY,SCH_TEACHERS_CURR_TOT,SCH_TEACHERS_PREV_TOT,SCH_FTETEACH_ABSENT,SCH_FTECOUNSELORS,SCH_FTESECURITY_LEO,SCH_FTESECURITY_GUA,SCH_FTESERVICES_NUR,SCH_FTESERVICES_PSY,SCH_FTESERVICES_SOC
VA,VIRGINIA,5100090,ALBEMARLE CO PBLC SCHS,00030,Murray High,510009000030,No,21.69,21.36,0.33,0,0,15,10,3,1,0.03,0,1.01,0.09,0.01
VA,VIRGINIA,5100090,ALBEMARLE CO PBLC SCHS,00032,Stone Robinson Elementary,510009000032,No,36.13,35.13,1,0,2,39,34,8,1,0.14,0,1.04,0.35,0.04
VA,VIRGINIA,5100090,ALBEMARLE CO PBLC SCHS,00033,Stony Point Elementary,510009000033,No,20.96,18.96,2,0,1,22,17,2,1.06,0.04,0,1.02,0.21,0.03
VA,VIRGINIA,5100090,ALBEMARLE CO PBLC SCHS,00035,Western Albemarle High,510009000035,No,81.59,73.92,7.67,3.5,2,87,75,19.83,4,0.39,0,1.01,0.98,0.12
VA,VIRGINIA,5100090,ALBEMARLE CO PBLC SCHS,00036,Woodbrook Elementary,510009000036,No,36.52,36.02,0.5,3,2,38,29,5.5,1,0.05,0,2.03,0.29,0.04
VA,VIRGINIA,5100090,ALBEMARLE CO PBLC SCHS,00751,Mortimer Y. Sutherland Middle,510009000751,No,46.35,42.02,4.33,0,2.83,47,40,13,2.5,0.09,0,1.05,0.52,0.07
VA,VIRGINIA,5100090,ALBEMARLE CO PBLC SCHS,01747,Monticello High,510009001747,No,95.62,86.28,9.34,6,6.67,94,75,23,7,1,0,1.1,0.97,0.12
VA,VIRGINIA,5100090,ALBEMARLE CO PBLC SCHS,01882,Scottsville Elementary,510009001882,No,22.29,21.29,1,0,2,23,16,3,0.5,0.08,0,1.02,0.21,0.03
VA,VIRGINIA,5100090,ALBEMARLE CO PBLC SCHS,01937,Baker-Butler Elem,510009001937,No,51.44,47.94,3.5,1,3,51,39,6.5,1.5,0.1,0,1.06,0.55,0.07
VA,VIRGINIA,5100090,ALBEMARLE CO PBLC SCHS,02173,Paul H. Cale Elementary,510009002173,No,66.85,66.85,0,2,1,66,61,20.7,1.5,0.2,0,3.05,0.52,0.07
VA,VIRGINIA,5100090,ALBEMARLE CO PBLC SCHS,02796,Albemarle County Community Public Charter School,510009002796,No,8.97,8.97,0,0,0,6,6,2,0,0,0,0,0.04,0.01
VA,VIRGINIA,5100091,REGIONAL ALTERNATIVE ED/KING WILLIAM,02361,Regional Alternative Ed/King William,510009102361,No,2.18,2.18,0,0,0,30,67,0,0.17,0.5,0.5,0,0,0
VA,VIRGINIA,5100092,NEW DOMINION ALT. CTR./PRINCE WILLIAM CO.,02362,New Dominion Alternative Center/Prince William Co.,510009202362,No,11.91,10.91,1,0,1,16,15,7,1,0.5,2,0.5,0,1
VA,VIRGINIA,5100093,PROJECT BRIDGE/RUSSELL CO,02363,Project Bridge/Russell Co,510009302363,No,6,6,0,0,0,6,6,0,0,0,0,0,0,0
VA,VIRGINIA,5100094,REGIONAL ALTERNATIVE/WYTHE CO,02364,Regional Alternative/Wythe Co,510009402364,No,4,4,0,0,0,4,4,2,0,0,0,0,0,0
VA,VIRGINIA,5100096,PIEDMONT ALTERNATIVE SCHOOL,02366,Piedmont Alternative,510009602366,No,1,1,0,0,0,1,1,0,0,0,0,0,0,0
VA,VIRGINIA,5100097,NORTHERN NECK REGIONAL ALTERNATIVE ED,02367,Northern Neck Regional Alternative Ed,510009702367,No,1,1,0,0,0,1,1,0,1,1,0,2,0,0
VA,VIRGINIA,5100098,SHENANDOAH VALLEY REG ALTERNATIVE ED/GENESIS,02368,Shenandoah Valley Reg Alternative Ed/Genesis,510009802368,No,6,6,0,0,1,6,6,1,0,0,0,0,0,0
VA,VIRGINIA,5100099,BREAKING BARRIERS ALTERNATIVE ED/HENRY CO,02369,Breaking Barriers Alternative Ed/Henry Co,510009902369,No,3.35,3.35,0,0,0,5,5,0.67,0.67,0.67,0,0.01,0.01,0.01
VA,VIRGINIA,5100100,CARROLL-GALAX REG ALT ED PRGM/THE RAE CENTER,02370,Carroll-Galax Reg Alt Ed Prgm/The RAE Ctr,510010002370,No,7.5,7.5,0,0,0,8,8,2,1,0,0,0,0.25,0.1
VA,VIRGINIA,5100102,REGIONAL LEARNING ACADEMY/WISE CO,02372,Regional Learning Academy/Wise Co,510010202372,No,2,2,0,0,0,4,4,0,0.5,0.5,0,1,0,0
VA,VIRGINIA,5100120,ALEXANDRIA CITY PBLC SCHS,00038,Charles Barrett Elementary,510012000038,No,44,42,2,1,3,46,39,18,1,0,0,1,1,1
VA,VIRGINIA,5100120,ALEXANDRIA CITY PBLC SCHS,00039,Douglas Macarthur Elementary,510012000039,No,46,44,2,3,5,57,47,21,1.4,0,0,1,1,1
VA,VIRGINIA,5100120,ALEXANDRIA CITY PBLC SCHS,00041,George Mason Elementary,510012000041,No,35,33,2,0,0,49,37,20,1.2,0,0,1,1,1
VA,VIRGINIA,5100120,ALEXANDRIA CITY PBLC SCHS,00043,James K. Polk Elementary,510012000043,No,65,62,3,4,4,70,61,29,2,0,0,1,1,1
VA,VIRGINIA,5100120,ALEXANDRIA CITY PBLC SCHS,00044,Jefferson-Houston Elementary,510012000044,No,69,60,9,4,7,65,40,34,1,0,0,1,1,1
