School,id,SCHID,LEA,class,dindex,pctwhite,pctblack,schoolsum,pctlatinx,n,Name,division,d_index,metric,urban,mostly,rural,Expenditure_per_pupil,census,pct_frpl,pct_apib,pct_adv,pct_hisp,pct_ai_na,pct_asian,pct_black,pct_nwopi,pct_white,pct_2more,pct_rural,n_Advanced,n_ADV FRPL,n_ADV LEP,n_ADV NA,n_ADV Asian,n_ADV Black,n_ADV Latinx,n_ADV White,pct_nonwhite_adv
Lebanon High,83,02042,RUSSELL CO PBLC SCHS,alg2,0.050295857988165715,0.9743589743589743,0,78,0.01282051282051282,3,Russell County,7,0.046332232019672175,1.3846153846153846,0,1,0,10849,28897,0.6285938316779927,0.06769472033455305,NA,0.009409304756926294,7.841087297438578e-4,0.0013068478829064297,0.005227391531625719,2.6136957658128593e-4,0.9764767381076843,0.006534239414532148,88.2,107,34,0,0,0,0,0,105,1.869158878504673
Lebanon High,83,02042,RUSSELL CO PBLC SCHS,enr,0.07668906208008608,0.9606557377049181,0.013114754098360657,610,0.009836065573770493,3,Russell County,7,0.046332232019672175,1.3846153846153846,0,1,0,10849,28897,0.6285938316779927,0.06769472033455305,NA,0.009409304756926294,7.841087297438578e-4,0.0013068478829064297,0.005227391531625719,2.6136957658128593e-4,0.9764767381076843,0.006534239414532148,88.2,107,34,0,0,0,0,0,105,1.869158878504673
Salem High,139,02043,SALEM CITY PBLC SCHS,alg11112,1,0,0,19,NA,1,Salem city,6,0.41428103259082216,1.5384615384615385,1,0,0,11038,24802,0.3612446243359474,0.1411586137111055,NA,0.052365292183152036,0.0010118897040222615,0.021249683784467493,0.12547432329876043,7.589172780166962e-4,0.7513281052365293,0.047811788515051856,0,177,28,0,0,0,10,0,146,17.514124293785315
Salem High,139,02043,SALEM CITY PBLC SCHS,alg10910,0.9769431660457301,0.1778975741239892,0.06469002695417789,468,NA,1,Salem city,6,0.41428103259082216,1.5384615384615385,1,0,0,11038,24802,0.3612446243359474,0.1411586137111055,NA,0.052365292183152036,0.0010118897040222615,0.021249683784467493,0.12547432329876043,7.589172780166962e-4,0.7513281052365293,0.047811788515051856,0,177,28,0,0,0,10,0,146,17.514124293785315
Salem High,139,02043,SALEM CITY PBLC SCHS,chem,0.3171267425304356,0.8205980066445183,0.05647840531561462,301,0.029900332225913623,1,Salem city,6,0.41428103259082216,1.5384615384615385,1,0,0,11038,24802,0.3612446243359474,0.1411586137111055,NA,0.052365292183152036,0.0010118897040222615,0.021249683784467493,0.12547432329876043,7.589172780166962e-4,0.7513281052365293,0.047811788515051856,0,177,28,0,0,0,10,0,146,17.514124293785315
Salem High,139,02043,SALEM CITY PBLC SCHS,bio,0.9027840380393014,0.30778739184178,0.0407911001236094,809,0.022249690976514216,1,Salem city,6,0.41428103259082216,1.5384615384615385,1,0,0,11038,24802,0.3612446243359474,0.1411586137111055,NA,0.052365292183152036,0.0010118897040222615,0.021249683784467493,0.12547432329876043,7.589172780166962e-4,0.7513281052365293,0.047811788515051856,0,177,28,0,0,0,10,0,146,17.514124293785315
Salem High,139,02043,SALEM CITY PBLC SCHS,gate,0.9595884634845673,0.2,0.005194805194805194,385,NA,1,Salem city,6,0.41428103259082216,1.5384615384615385,1,0,0,11038,24802,0.3612446243359474,0.1411586137111055,NA,0.052365292183152036,0.0010118897040222615,0.021249683784467493,0.12547432329876043,7.589172780166962e-4,0.7513281052365293,0.047811788515051856,0,177,28,0,0,0,10,0,146,17.514124293785315
Salem High,139,02043,SALEM CITY PBLC SCHS,apany,0.995817121458081,0.06429780033840947,0.006768189509306261,591,0,1,Salem city,6,0.41428103259082216,1.5384615384615385,1,0,0,11038,24802,0.3612446243359474,0.1411586137111055,NA,0.052365292183152036,0.0010118897040222615,0.021249683784467493,0.12547432329876043,7.589172780166962e-4,0.7513281052365293,0.047811788515051856,0,177,28,0,0,0,10,0,146,17.514124293785315
Salem High,139,02043,SALEM CITY PBLC SCHS,alg2,0.7281503836163535,0.5167785234899329,0.053691275167785234,447,0.03131991051454139,1,Salem city,6,0.41428103259082216,1.5384615384615385,1,0,0,11038,24802,0.3612446243359474,0.1411586137111055,NA,0.052365292183152036,0.0010118897040222615,0.021249683784467493,0.12547432329876043,7.589172780166962e-4,0.7513281052365293,0.047811788515051856,0,177,28,0,0,0,10,0,146,17.514124293785315
Salem High,139,02043,SALEM CITY PBLC SCHS,enr,0.8873169407173287,0.33066132264529063,0.04976619906479626,2994,0.018370073480293923,1,Salem city,6,0.41428103259082216,1.5384615384615385,1,0,0,11038,24802,0.3612446243359474,0.1411586137111055,NA,0.052365292183152036,0.0010118897040222615,0.021249683784467493,0.12547432329876043,7.589172780166962e-4,0.7513281052365293,0.047811788515051856,0,177,28,0,0,0,10,0,146,17.514124293785315
Gate City High,84,01532,SCOTT CO PBLC SCHS,alg11112,0.7999999999999999,0.6666666666666666,0,5,NA,4,Scott County,7,0.08748408238002563,1.3846153846153846,0,1,0,10508,23177,0.595882684715172,0.07416807670614778,NA,0.022560631697687534,5.640157924421884e-4,0.0025380710659898475,0.006204173716864072,0,0.954878736604625,0.012972363226170333,82.1,135,43,0,0,0,0,0,128,5.185185185185182
Gate City High,84,01532,SCOTT CO PBLC SCHS,alg10910,0.6963765097875886,1,0,49,NA,4,Scott County,7,0.08748408238002563,1.3846153846153846,0,1,0,10508,23177,0.595882684715172,0.07416807670614778,NA,0.022560631697687534,5.640157924421884e-4,0.0025380710659898475,0.006204173716864072,0,0.954878736604625,0.012972363226170333,82.1,135,43,0,0,0,0,0,128,5.185185185185182
Gate City High,84,01532,SCOTT CO PBLC SCHS,chem,0.17430120097778723,0.9072164948453608,0.010309278350515464,97,0.041237113402061855,4,Scott County,7,0.08748408238002563,1.3846153846153846,0,1,0,10508,23177,0.595882684715172,0.07416807670614778,NA,0.022560631697687534,5.640157924421884e-4,0.0025380710659898475,0.006204173716864072,0,0.954878736604625,0.012972363226170333,82.1,135,43,0,0,0,0,0,128,5.185185185185182
