School,SCHID,LEA,dindex_alg11112,pctwhite_alg11112,pctblack_alg11112,schoolsum_alg11112,dindex_alg10910,pctwhite_alg10910,pctblack_alg10910,schoolsum_alg10910,dindex_alg108,pctwhite_alg108,pctblack_alg108,schoolsum_alg108,dindex_chem,pctwhite_chem,pctblack_chem,pctlatinx_chem,schoolsum_chem,dindex_bio,pctwhite_bio,pctlatinx_bio,schoolsum_bio,pctblack_bio,dindex_gate,pctwhite_gate,schoolsum_gate,pctblack_gate,dindex_apany,pctwhite_apany,pctlatinx_apany,schoolsum_apany,pctblack_apany,dindex_alg2,pctwhite_alg2,schoolsum_alg2,pctlatinx_alg2,pctblack_alg2,dindex_enr,pctwhite_enr,pctblack_enr,pctlatinx_enr,schoolsum_enr
Langston High Continuation Program,02944,ARLINGTON CO PBLC SCHS,0.9,0,0,10,0.75,0,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5813148788927336,0.23529411764705882,0.5882352941176471,17,0.11764705882352941,0.6446280991735538,0.2727272727272727,11,0,NA,NA,NA,NA,NA,0.48,0.4,5,0.6,0,0.6540642722117203,0.21739130434782608,0.18478260869565216,0.5108695652173914,92
Buffalo Gap High,00117,AUGUSTA CO PBLC SCHS,0.75,1,0,2,0.3733459357277883,0.9083333333333333,0.008333333333333333,138,NA,NA,NA,NA,0,1,0,0,60,0.04335422771643138,0.9779735682819384,0.013215859030837005,227,0.004405286343612335,0,1,80,0,0,1,0,32,0,0,1,37,0,0,0.07267380802352441,0.9627329192546584,0.010351966873706004,0.014492753623188406,483
Fort Defiance High,00124,AUGUSTA CO PBLC SCHS,0.4628099173553719,0.8888888888888888,0,11,0.4593737613951644,0.8581081081081081,0.020270270270270268,174,NA,NA,NA,NA,0.1946998377501351,0.8953488372093024,0.011627906976744186,0.046511627906976744,86,0.2261601784648254,0.8770226537216829,0.04854368932038835,309,0.012944983818770229,0.12465868515017853,0.9347826086956522,138,0,0.24418270611893134,0.864406779661017,0.0847457627118644,59,0,0.20781250000000007,0.8875,80,0.05,0,0.22406992715920915,0.8774193548387097,0.00903225806451613,0.07096774193548387,775
Riverheads High,00129,AUGUSTA CO PBLC SCHS,0.5,0.5,0,2,0.2968076557820146,0.9245283018867925,0.028301886792452827,117,NA,NA,NA,NA,0.19252077562326864,0.8947368421052632,0,0,38,0.18481033047867057,0.9015544041450777,0.02072538860103627,193,0.020725388601036274,0.10145429362880887,0.9473684210526315,76,0,0.14464168310322134,0.9230769230769231,0,39,0.02564102564102564,0.060546875,0.96875,32,0,0,0.1193012817046133,0.9379157427937915,0.013303769401330377,0.013303769401330377,451
Stuarts Draft High,00132,AUGUSTA CO PBLC SCHS,0,1,0,5,0.44337098692033283,0.826923076923077,0.038461538461538464,116,NA,NA,NA,NA,0.23190082644628107,0.8727272727272727,0.009090909090909092,0.07272727272727272,110,0.1750889213066924,0.9068825910931174,0.032388663967611336,247,0.02834008097165992,0.2246857590772937,0.8783068783068783,189,0.03174603174603175,0.11865234375,0.9375,0.015625,64,0,0.20741357767596835,0.8877551020408163,98,0.061224489795918366,0.01020408163265306,0.20512780499984395,0.8896648044692738,0.02374301675977653,0.04189944134078212,716
Wilson Memorial High,00138,AUGUSTA CO PBLC SCHS,0.49609375,0.7333333333333333,0.13333333333333333,16,0.44679073808012304,0.8366013071895425,0.0326797385620915,173,NA,NA,NA,NA,0.18930041152263388,0.8981481481481481,0.009259259259259259,0.05555555555555555,108,0.23929201310153703,0.8690476190476191,0.05555555555555555,252,0.03968253968253968,0.10730124391563012,0.9441860465116279,215,0.018604651162790697,0.19059917355371903,0.8977272727272727,0,88,0.034090909090909095,0.05836489195811989,0.9701492537313433,67,0.014925373134328358,0,0.2610527286299137,0.8561917443408789,0.0426098535286285,0.05326231691078562,751
Bath County High,00139,BATH CO PBLC SCHS,0.5555555555555556,1,0,3,0.45501730103806215,0.8928571428571428,0,34,0,1,0,10,0.1449704142011834,0.9230769230769231,0,0,26,0.2662500000000001,0.85,0,40,0.07500000000000001,0,1,13,0,0,1,0,8,0,0.2662500000000001,0.85,40,0,0.07500000000000001,0.188332100591716,0.8990384615384616,0.028846153846153848,0.014423076923076924,208
Liberty High,00151,BEDFORD CO PBLC SCHS,0.9197530864197531,0.3846153846153846,0,18,0.9131878222787315,0.35882352941176465,0.09117647058823529,429,NA,NA,NA,NA,0.30908587476761196,0.8238993710691824,0.09433962264150944,0.025157232704402517,159,0.9069093083856635,0.3006535947712418,0.009150326797385621,765,0.04967320261437908,0.9171881200207563,0.28729281767955805,181,0.011049723756906077,0.9318413542871138,0.26014319809069214,0.007159904534606206,419,0.014319809069212408,0.9468131299599967,0.22796352583586627,329,0.00303951367781155,0.03343465045592705,0.8975298571498738,0.3155053974484789,0.04906771344455349,0.011285574092247301,2038
Staunton River High,00156,BEDFORD CO PBLC SCHS,0.234375,1,0,8,0.4318554403286118,0.8749999999999999,0.034999999999999996,233,NA,NA,NA,NA,0.16029876472278104,0.9152542372881356,0.025423728813559324,0.03389830508474576,118,0.2126585222034898,0.8847262247838616,0.03170028818443804,347,0.04899135446685879,0.03998334027488548,0.9795918367346939,49,0,0.18289224952741023,0.9021739130434783,0.010869565217391304,92,0.03260869565217391,0.19059917355371891,0.8977272727272727,88,0.045454545454545456,0.034090909090909095,0.22699764122518573,0.8765560165975104,0.042531120331950216,0.03319502074688797,964
Jefferson Forest High,02175,BEDFORD CO PBLC SCHS,0.1479289940828401,1,0,13,0.5143363130376117,0.8007518796992481,0.06015037593984962,308,NA,NA,NA,NA,0.35420979336821123,0.7975460122699386,0.05828220858895705,0.049079754601226995,326,0.2857122359963269,0.8409090909090909,0.017045454545454544,528,0.06060606060606061,0.15962599031382108,0.9153439153439153,189,0.026455026455026454,0.2875566893424035,0.8392857142857143,0.02976190476190476,336,0.041666666666666664,0.24588762354228666,0.8654970760233918,171,0.023391812865497075,0.058479532163742694,0.29279776877060826,0.8368231046931408,0.0555956678700361,0.0332129963898917,1385
