School,SCHID,course,trackedness,dindex,pctblack,pctlatinx,pctwhite,schpctblack,schpctlatinx,schpctwhite,id,LEA,schoolsum,division,d_index,urban,mostly,rural,Expenditure_per_pupil,census,pct_frpl,schpop,discrepancy_black,discrepancy_latinx
Matoaca High,00340,apany,2.5384615384615383,0.4906946710443749,0.22535211267605634,0.03219315895372234,0.6740442655935613,0.39601640304628,0.05213825424721734,0.4932630345635618,21,CHESTERFIELD CO PBLC SCHS,497,1,0.6549712280280134,1,0,0,10218,316236,0.3225203358698504,1707,-0.17066429037022365,-0.019945095293495002
Matoaca High,00340,alg2,2.5384615384615383,0.5697636880165289,0.3721590909090909,0.048295454545454544,0.5369318181818182,0.39601640304628,0.05213825424721734,0.4932630345635618,21,CHESTERFIELD CO PBLC SCHS,352,1,0.6549712280280134,1,0,0,10218,316236,0.3225203358698504,1707,-0.023857312137189113,-0.0038427997017627946
Meadowbrook High,00342,alg11112,2.5384615384615383,0.7993079584775087,0.3,0,0,0.46810870770937324,0.4009983361064892,0.0743205768164171,21,CHESTERFIELD CO PBLC SCHS,34,1,0.6549712280280134,1,0,0,10218,316236,0.3225203358698504,1803,-0.16810870770937325,-0.4009983361064892
Meadowbrook High,00342,alg10910,2.5384615384615383,0.7846425033506207,0.4357541899441341,0,0.03910614525139665,0.46810870770937324,0.4009983361064892,0.0743205768164171,21,CHESTERFIELD CO PBLC SCHS,262,1,0.6549712280280134,1,0,0,10218,316236,0.3225203358698504,1803,-0.03235451776523912,-0.4009983361064892
Meadowbrook High,00342,chem,2.5384615384615383,0.6571899245403338,0.4896907216494845,0.29381443298969073,0.10824742268041238,0.46810870770937324,0.4009983361064892,0.0743205768164171,21,CHESTERFIELD CO PBLC SCHS,194,1,0.6549712280280134,1,0,0,10218,316236,0.3225203358698504,1803,0.021582013940111278,-0.10718390311679848
Meadowbrook High,00342,bio,2.5384615384615383,0.609343998500211,0.49209486166007904,0.37747035573122534,0.06126482213438736,0.46810870770937324,0.4009983361064892,0.0743205768164171,21,CHESTERFIELD CO PBLC SCHS,506,1,0.6549712280280134,1,0,0,10218,316236,0.3225203358698504,1803,0.023986153950705802,-0.02352798037526388
Meadowbrook High,00342,gate,2.5384615384615383,0.656292868696382,0.4841628959276018,0,0.09954751131221719,0.46810870770937324,0.4009983361064892,0.0743205768164171,21,CHESTERFIELD CO PBLC SCHS,221,1,0.6549712280280134,1,0,0,10218,316236,0.3225203358698504,1803,0.01605418821822857,-0.4009983361064892
Meadowbrook High,00342,apany,2.5384615384615383,0.656211346822563,0.4782608695652174,0.31884057971014496,0.09178743961352659,0.46810870770937324,0.4009983361064892,0.0743205768164171,21,CHESTERFIELD CO PBLC SCHS,207,1,0.6549712280280134,1,0,0,10218,316236,0.3225203358698504,1803,0.010152161855844166,-0.08215775639634426
Meadowbrook High,00342,alg2,2.5384615384615383,0.655825350857652,0.4925373134328358,0.29353233830845776,0.09950248756218907,0.46810870770937324,0.4009983361064892,0.0743205768164171,21,CHESTERFIELD CO PBLC SCHS,201,1,0.6549712280280134,1,0,0,10218,316236,0.3225203358698504,1803,0.02442860572346256,-0.10746599779803145
Thomas Dale High,00350,alg11112,2.5384615384615383,0,1,0,0,0.32117098005939754,0.13406873143826897,0.46754348748408997,21,CHESTERFIELD CO PBLC SCHS,2,1,0.6549712280280134,1,0,0,10218,316236,0.3225203358698504,2357,0.6788290199406024,-0.13406873143826897
Thomas Dale High,00350,alg10910,2.5384615384615383,0.8062170344246435,0.3724137931034483,0,0.3241379310344828,0.32117098005939754,0.13406873143826897,0.46754348748408997,21,CHESTERFIELD CO PBLC SCHS,179,1,0.6549712280280134,1,0,0,10218,316236,0.3225203358698504,2357,0.05124281304405076,-0.13406873143826897
Thomas Dale High,00350,chem,2.5384615384615383,0.6338901011704028,0.27605633802816903,0.10704225352112676,0.523943661971831,0.32117098005939754,0.13406873143826897,0.46754348748408997,21,CHESTERFIELD CO PBLC SCHS,355,1,0.6549712280280134,1,0,0,10218,316236,0.3225203358698504,2357,-0.0451146420312285,-0.027026477917142216
Thomas Dale High,00350,bio,2.5384615384615383,0.6461408565522461,0.28660436137071654,0.12461059190031153,0.5031152647975078,0.32117098005939754,0.13406873143826897,0.46754348748408997,21,CHESTERFIELD CO PBLC SCHS,642,1,0.6549712280280134,1,0,0,10218,316236,0.3225203358698504,2357,-0.034566618688680995,-0.009458139537957447
Thomas Dale High,00350,gate,2.5384615384615383,0.6290667534338225,0.25812619502868067,0,0.5391969407265774,0.32117098005939754,0.13406873143826897,0.46754348748408997,21,CHESTERFIELD CO PBLC SCHS,523,1,0.6549712280280134,1,0,0,10218,316236,0.3225203358698504,2357,-0.06304478503071687,-0.13406873143826897
