LEA_STATE,LEA_STATE_NAME,LEAID,LEA_NAME,SCHID,SCH_NAME,COMBOKEY,JJ,SCH_SAL_TOTPERS_WOFED,SCH_FTE_TEACH_WOFED,SCH_SAL_TEACH_WOFED,SCH_NPE_WOFED,SCH_FTE_AID_WOFED,SCH_SAL_AID_WOFED,SCH_FTE_SUP_WOFED,SCH_SAL_SUP_WOFED,SCH_FTE_ADM_WOFED,SCH_SAL_ADM_WOFED,SCH_SAL_TEACH_WFED,SCH_FTE_AID_WFED,SCH_SAL_AID_WFED,SCH_FTE_SUP_WFED,SCH_SAL_SUP_WFED,SCH_FTE_ADM_WFED,SCH_SAL_ADM_WFED,SCH_SAL_TOTPERS_WFED,SCH_NPE_WFED
VA,VIRGINIA,5101260,FAIRFAX CO PBLC SCHS,00466,Fairhill Elementary,510126000466,No,2757537.03,31.5,1993085.95,66752.59,4.8,148577.04,2.5,193627.03,5.5,422247.01,2374359.01,9.8,311607.73,3.5,217240.58,5.5,422247.01,3325454.33,69063.23
VA,VIRGINIA,5101260,FAIRFAX CO PBLC SCHS,00467,Fairview Elementary,510126000467,No,3188708.56,35.2,2310878.29,72982.31,5,153875.65,3,222249.94,6.5,501704.68,2808820.28,13,399113.53,5,271953.98,6.5,501793.24,3981681.03,72982.31
VA,VIRGINIA,5101260,FAIRFAX CO PBLC SCHS,00468,Falls Church High,510126000468,No,12163923.82,131.5,9203109.48,588527.01,0,NA,20,1291328.41,22,1669485.93,11507871.1,11,304179.93,30,1647341.21,22,1669485.93,15128878.17,603131.11
VA,VIRGINIA,5101260,FAIRFAX CO PBLC SCHS,00469,Flint Hill Elementary,510126000469,No,3297677.88,36.1,2480754.89,100543.6,5,109205.29,3,232251.74,6.5,475465.96,2890814.28,10,245358.82,4,256220.75,6.5,475465.96,3867859.81,103718.06
VA,VIRGINIA,5101260,FAIRFAX CO PBLC SCHS,00470,Floris Elementary,510126000470,No,3647717.27,41.2,2822755.96,104544.41,6,171358.63,2.5,174565.01,7,479037.67,3333658.13,13,379009.19,5.5,247842.25,7,479037.67,4439547.24,106064.37
VA,VIRGINIA,5101260,FAIRFAX CO PBLC SCHS,00471,Forest Edge Elementary,510126000471,No,3178484.2,38.1,2279352.97,58278.21,4,114948.85,5,302136.41,7,482045.97,3064334.91,16,481175.33,6,331477.2,7,482045.97,4359033.41,74407.89
VA,VIRGINIA,5101260,FAIRFAX CO PBLC SCHS,00472,Forestdale Elementary,510126000472,No,3033158.11,36,2128239.35,79946.2,4,107881.62,2.5,198794.99,9,598242.15,3098380.52,21,583952.89,4.5,260563.99,9,598242.15,4541139.55,89973.51
VA,VIRGINIA,5101260,FAIRFAX CO PBLC SCHS,00473,Fort Hunt Elementary,510126000473,No,3137950.45,36.2,2364100.45,49275.41,7,181244.62,2.5,171881.91,5.5,420723.47,2867491.05,12,319916.19,4.5,214761.47,5.5,420723.47,3822892.18,53049.97
VA,VIRGINIA,5101260,FAIRFAX CO PBLC SCHS,00474,Sandburg Middle,510126000474,No,7276124.19,83.33,5573161.45,326765.65,1,23041.97,10.67,873046.57,11,806874.2,6688030.47,15,388216.44,10.67,873046.57,12,902156.45,8851449.93,344718.74
VA,VIRGINIA,5101260,FAIRFAX CO PBLC SCHS,00475,Whitman Middle,510126000475,No,5711219.07,59.67,4252903.54,193815.03,0,NA,8,641461.48,11,816854.05,5343471.79,9,285811.43,10,696511.26,11,817187.66,7142982.14,195002.09
VA,VIRGINIA,5101260,FAIRFAX CO PBLC SCHS,00476,Franconia Elementary,510126000476,No,2858839.48,31.7,2080477.24,57343.18,5,180104.93,2,143192.01,6,455065.3,2401872.32,8,295409.95,3,174755.99,6,455065.3,3327103.56,60189.3
VA,VIRGINIA,5101260,FAIRFAX CO PBLC SCHS,00477,Sherman Elementary,510126000477,No,2082925.49,25,1433710.25,97736.36,4,88047.61,2,150561.03,5.5,410606.6,2012350.33,12,307117.65,3,191325.57,5.5,410606.6,2921400.15,118766.01
VA,VIRGINIA,5101260,FAIRFAX CO PBLC SCHS,00478,Freedom Hill Elementary,510126000478,No,3132436.62,34.9,2163182.23,116490.48,5,184700.02,3.5,271334.06,7.5,513220.31,3012839.71,11.5,373141.45,9.5,449955.73,7.5,513220.31,4349157.2,120475.74
VA,VIRGINIA,5101260,FAIRFAX CO PBLC SCHS,00479,Frost Middle,510126000479,No,5644549.74,58.83,4084052.09,279851.38,0,NA,10.67,780461.48,18,780036.17,5959453.54,16,480656.32,13.67,930004.24,19,892429.29,8262543.39,296780.72
VA,VIRGINIA,5101260,FAIRFAX CO PBLC SCHS,00480,Garfield Elementary,510126000480,No,2361225.38,25.2,1658870.66,57674.98,4,115579,2.78,212566.98,5.5,374208.74,2064364.91,9,258861.95,3.78,244130.96,5.5,374208.74,2941566.56,59185.88
VA,VIRGINIA,5101260,FAIRFAX CO PBLC SCHS,00481,Glasgow Middle,510126000481,No,9158770.25,112.83,7303450.07,338231.05,0,NA,12,890724.01,13,964596.17,9226165.62,15,378840.4,12,890724.01,13,970488.08,11466218.11,353453.06
VA,VIRGINIA,5101260,FAIRFAX CO PBLC SCHS,00482,Glen Forest Elementary,510126000482,No,6090135.94,70,4537612.4,164511.72,10,312019.89,5.5,405329.27,12,835174.38,5640752.13,28,788958.15,9.5,541338.84,12,835174.38,7806223.5,169858.79
VA,VIRGINIA,5101260,FAIRFAX CO PBLC SCHS,00483,Graham Road Elementary,510126000483,No,2778970.3,33.6,1970995.26,63561.69,3,87211,4,269474.07,6,451289.97,2434769.2,8,226799.97,4,317178.1,6,451289.97,3430037.24,65821.38
VA,VIRGINIA,5101260,FAIRFAX CO PBLC SCHS,00484,Great Falls Elementary,510126000484,No,2817797.41,31.9,2052929.59,100920.08,5,168031.8,2.5,191611.06,6,405224.96,2442707.8,11,291499.02,2.5,191611.06,6,405224.96,3331042.84,100920.08
VA,VIRGINIA,5101260,FAIRFAX CO PBLC SCHS,00486,Greenbriar East Elementary,510126000486,No,4647744.23,49.3,3349382.09,63982.39,7.5,245200.92,4.5,358332.83,9.5,694828.39,4423492.31,21.5,631596.19,5.5,394556.85,9.5,694828.39,6144473.74,78252.78
