id,Name,Census Total,Census Urban,Census Rural,Census Percent Rural,urbanicity,AB_IB_Dual_Enrollment,Hispanic_any,AI_NA,Asian,Black_or_AA,NW_OPI,White,Two or more races,Full time enrollment,Part time enrollment,Total Enrollment,Total FRPL,Total EL,Total sped,n_ Standard Diploma,n_STD FRPL,n_STD LEP,n_ STD NA,n_STD Asian,n_STD Black,n_STD Latinx,n_STD White,n_Advanced,n_ADV FRPL,n_ADV LEP,n_ADV NA,n_ADV Asian,n_ADV Black,n_ADV Latinx,n_ADV White,n_ Applied,GED,Cohort (2017) size,n_NA,n_Asian,n_Black,n_Latinx,n_White,n_FRPL,n_Drop out,n_NA DO,n_Asian DO,n_Black DO,n_Latinx DO,n_White DO,census,SUM,Division num,urban,mostly,rural,pct_frpl,pct_apib,pct_adv,pct_hisp,pct_ai_na,pct_asian,pct_black,pct_nwopi,pct_white,pct_2more,d_index,metric
22,Clarke County,14034,4277,9757,69.5,mostly_rural,298,176,4,27,59,2,1559,147,1974,4,1978,484,69,233,52,15,0,0,0,0,0,41,131,13,0,0,0,0,0,109,0,0,193,0,0,0,15,156,40,0,0,0,0,0,0,14034,23,4,0,1,0,0.24469160768452983,0.1506572295247725,0.7158469945355191,0.08897876643073811,0.0020222446916076846,0.013650151668351871,0.029828109201213347,0.0010111223458038423,0.7881698685540951,0.0743174924165824,0.3642667931677164,1.7692307692307692
23,Craig County,5190,0,5190,100,rural,46,7,0,2,2,0,601,2,614,0,614,330,888,123,23,0,0,0,0,0,0,23,17,0,0,0,0,0,0,17,0,0,46,0,0,0,0,46,23,0,0,0,0,0,0,5190,13,6,0,0,1,0.5374592833876222,0.0749185667752443,0.425,0.011400651465798045,0,0.003257328990228013,0.003257328990228013,0,0.9788273615635179,0.003257328990228013,0.04173519082430595,1
24,Culpeper County,46689,17778,28911,61.9,mostly_rural,650,1740,24,116,1205,1,4574,548,8208,2,8210,3944,29,832,242,103,0,0,0,50,38,140,301,54,0,0,0,33,29,215,19,4,619,0,0,98,94,387,286,45,0,0,0,27,13,46689,28,4,0,1,0,0.48038976857490867,0.07917174177831912,0.49263502454991814,0.21193666260657734,0.00292326431181486,0.01412911084043849,0.14677222898903775,1.218026796589525e-4,0.5571254567600488,0.06674786845310597,0.6184885192443783,2.1538461538461537
25,Cumberland County,10052,402,9650,96,mostly_rural,122,50,2,0,534,1,664,84,1335,0,1335,877,326,146,45,31,0,0,0,18,0,22,48,24,0,0,0,25,0,22,0,0,99,0,0,45,0,47,64,0,0,0,0,0,0,10052,NA,NA,0,1,0,0.6569288389513108,0.09138576779026217,0.5161290322580645,0.03745318352059925,0.00149812734082397,0,0.4,7.49063670411985e-4,0.49737827715355803,0.06292134831460675,0.587250206904291,NA
26,Dickenson County,15903,0,15903,100,rural,105,10,2,4,19,0,2078,15,2128,0,2128,1272,86,347,113,76,0,0,0,0,0,111,38,18,0,0,0,0,0,38,0,2,171,0,0,0,0,167,128,17,0,0,0,0,16,15903,22,7,0,0,1,0.5977443609022557,0.049342105263157895,0.2235294117647059,0.004699248120300752,9.398496240601503e-4,0.0018796992481203006,0.008928571428571428,0,0.9765037593984962,0.007048872180451127,0.046284502374357044,1.6923076923076923
27,Dinwiddie County,28001,8062,19939,71.2,mostly_rural,166,273,7,10,1476,6,2332,232,4336,0,4336,2312,50,503,175,80,0,0,0,76,0,84,128,33,0,0,0,26,0,89,19,8,354,0,0,120,19,200,182,27,0,0,11,0,13,28001,13,1,0,1,0,0.533210332103321,0.038284132841328415,0.3585434173669468,0.06296125461254612,0.0016143911439114391,0.0023062730627306273,0.3404059040590406,0.0013837638376383763,0.5378228782287823,0.05350553505535055,0.5880335703149469,1
28,Essex County,11151,2534,8617,77.3,mostly_rural,89,64,8,16,728,1,463,123,1403,0,1403,980,54451,235,47,26,0,0,0,18,0,25,36,14,0,0,0,16,0,17,0,0,100,0,0,42,0,51,70,0,0,0,0,0,0,11151,19,3,0,1,0,0.6985032074126871,0.06343549536707056,0.43373493975903615,0.045616535994297935,0.005702066999287242,0.011404133998574484,0.518888096935139,7.127583749109052e-4,0.3300071275837491,0.08766928011404133,0.6119205917062968,1.4615384615384615
29,Fairfax County,1081699,1066647,15079,1.4,urban,17867,48732,513,36993,19015,263,72912,10134,188562,29,188591,54965,257,26602,3922,1497,319,11,461,666,1245,1344,8866,1211,76,16,2184,690,1151,4370,272,62,14110,29,2725,1497,3278,5911,4697,1015,0,53,80,783,87,1081699,37,4,1,0,0,0.2914508115445594,0.09473940962188016,0.6271486171040532,0.25840045389228544,0.002720172224549422,0.19615464152584164,0.10082665662730458,0.0013945522320789434,0.3866144195640301,0.05373533201478332,0.732219007915059,2.8461538461538463
30,Fauquier County,65203,27714,37489,57.5,mostly_rural,2043,1755,21,194,870,15,7731,555,11141,3,11144,3147,81,1607,347,84,0,0,0,35,31,264,505,33,0,0,11,25,36,415,27,20,900,0,15,77,77,699,224,22,0,0,0,0,11,65203,26,4,0,1,0,0.2823941134242642,0.18332735104091888,0.5483170466883822,0.15748384781048097,0.0018844221105527637,0.017408470926058867,0.0780689160086145,0.0013460157932519742,0.6937365398420675,0.049802584350323045,0.4850449802468398,2
31,Floyd County,15279,0,15279,100,rural,205,106,3,13,24,0,1803,82,2031,6,2037,1109,82,284,70,35,0,0,0,0,0,61,57,16,0,0,0,0,0,55,0,0,138,0,0,0,0,127,74,0,0,0,0,0,0,15279,33,6,0,0,1,0.5444280805105547,0.10063819342169858,0.44881889763779526,0.052037309769268535,0.0014727540500736377,0.006381934216985763,0.011782032400589101,0,0.8851251840942562,0.04025527736867943,0.21204332514172636,2.5384615384615383
