id,Name,Census Total,Census Urban,Census Rural,Census Percent Rural,urbanicity,AB_IB_Dual_Enrollment,Hispanic_any,AI_NA,Asian,Black_or_AA,NW_OPI,White,Two or more races,Full time enrollment,Part time enrollment,Total Enrollment,Total FRPL,Total EL,Total sped,n_ Standard Diploma,n_STD FRPL,n_STD LEP,n_ STD NA,n_STD Asian,n_STD Black,n_STD Latinx,n_STD White,n_Advanced,n_ADV FRPL,n_ADV LEP,n_ADV NA,n_ADV Asian,n_ADV Black,n_ADV Latinx,n_ADV White,n_ Applied,GED,Cohort (2017) size,n_NA,n_Asian,n_Black,n_Latinx,n_White,n_FRPL,n_Drop out,n_NA DO,n_Asian DO,n_Black DO,n_Latinx DO,n_White DO,census,SUM,Division num,urban,mostly,rural,pct_frpl,pct_apib,pct_adv,pct_hisp,pct_ai_na,pct_asian,pct_black,pct_nwopi,pct_white,pct_2more,d_index,metric
112,Hampton city,137467,137094,342,0.2,urban,1476,1341,65,349,11913,29,4696,1514,19907,4,19911,9770,398,2648,738,412,0,0,12,509,31,145,593,210,0,0,23,322,25,177,69,56,1511,0,34,948,59,378,981,37,0,0,27,0,0,137467,23,2,1,0,0,0.49068354176083573,0.07412987795690824,0.3971868720696584,0.06734970619255688,0.0032645271457988046,0.017527999598212045,0.5983124905830948,0.0014564813419717744,0.23584953041032594,0.07603837074983677,0.5757593366216694,1.7692307692307692
113,Harrisonburg city,48914,48914,0,0,urban,477,2940,4,181,612,1,2311,252,6301,0,6301,4372,5060,686,149,122,50,0,0,25,77,42,215,103,0,0,0,24,72,105,21,2,413,0,12,53,179,163,311,38,0,0,0,27,NA,48914,32,5,1,0,0,0.6938581177590859,0.07570226948103476,0.5058823529411764,0.4665926043485161,6.348198698619266e-4,0.028725599111252182,0.09712744008887478,1.5870496746548166e-4,0.36676717981272816,0.03999365180130138,0.6359143573490312,2.4615384615384617
114,Hopewell city,22591,22591,0,0,urban,287,418,16,19,2481,4,1111,294,4343,0,4343,3543,55,617,145,92,0,0,0,89,11,38,119,56,0,0,0,53,0,46,22,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22591,25,1,1,0,0,0.8157955330416763,0.06608335252129864,NA,0.09624683398572416,0.0036840893391664746,0.004374856090260189,0.5712641031545015,9.210223347916187e-4,0.2558139534883721,0.06769514160718397,0.5943369002360295,1.9230769230769231
115,Lynchburg city,75568,73534,2034,2.7,urban,826,531,35,171,4149,8,2821,690,8405,33,8438,5105,13,1137,243,157,0,0,0,150,0,61,258,65,0,0,0,82,0,148,13,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75568,29,5,1,0,0,0.6050011851149562,0.09789049537805167,NA,0.06292960417160465,0.004147902346527613,0.020265465750177767,0.49170419530694476,9.480919649205973e-4,0.3343209291301256,0.08177293197440151,0.6353807601039125,2.230769230769231
116,Martinsville city,13821,13821,0,0,urban,213,237,4,26,1198,0,454,97,2016,0,2016,1188,14,223,65,40,0,0,0,50,0,10,69,35,0,0,0,36,0,22,0,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13821,23,6,1,0,0,0.5892857142857143,0.1056547619047619,NA,0.11755952380952381,0.001984126984126984,0.012896825396825396,0.5942460317460317,0,0.2251984126984127,0.04811507936507937,0.5798517613063744,1.7692307692307692
117,Newport News city,180966,180668,51,0,urban,2132,3781,94,710,15307,97,6831,1861,28681,3,28684,14917,1297,3435,926,448,11,0,17,600,86,191,794,286,0,0,44,370,83,275,55,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,180966,23,2,1,0,0,0.5200460186863757,0.07432715102496165,NA,0.13181564635336773,0.0032770882722075022,0.024752475247524754,0.5336424487519175,0.003381676195788593,0.2381467019941431,0.06487937526146981,0.6362923271891789,1.7692307692307692
118,Norfolk city,242803,242803,0,0,urban,2038,2903,116,719,18401,86,6638,1924,30787,0,30787,20058,214,4064,896,544,0,NA,11,608,55,156,588,212,0,0,33,249,41,213,55,85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,242803,26,2,1,0,0,0.6515087536947413,0.06619677136453699,NA,0.09429304576607009,0.00376782408159288,0.02335401305745932,0.597687335563712,0.002793386819111963,0.2156104849449443,0.062493909767109494,0.5829178910166158,2
119,Northumberland County,12330,0,12330,100,rural,221,16,0,6,51,0,678,47,798,0,798,496,105,117,21,11,0,0,0,0,0,19,28,0,0,0,0,0,0,24,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12330,12,7,0,0,1,0.6215538847117794,0.2769423558897243,NA,0.020050125313283207,0,0.007518796992481203,0.06390977443609022,0,0.849624060150376,0.05889724310776942,0.27012707206613024,0.9230769230769231
120,Petersburg city,32420,31737,683,2.1,urban,24,209,6,20,3823,8,103,24,4193,2,4195,2966,260,445,150,94,0,0,0,134,0,0,62,22,0,0,0,52,0,0,24,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32420,NA,NA,1,0,0,0.7070321811680572,0.0057210965435041715,NA,0.0498212157330155,0.0014302741358760429,0.004767580452920143,0.9113230035756853,0.0019070321811680572,0.024553039332538735,0.0057210965435041715,0.16634423465133172,NA
121,Portsmouth city,95535,95535,0,0,urban,170,485,50,125,10305,46,2818,510,14339,0,14339,9143,27,1610,499,279,0,0,0,376,13,85,323,145,0,0,0,198,0,102,52,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,95535,15,2,1,0,0,0.6376316340051608,0.011855777948253016,NA,0.03382383708766302,0.003486993514192064,0.008717483785480158,0.7186693632749843,0.0032080340330566987,0.1965269544598647,0.03556733384475905,0.4423839701388262,1.1538461538461537
122,Radford city,16408,15927,481,2.9,urban,165,85,0,14,155,1,1222,136,1613,0,1613,791,19,213,43,22,0,0,0,0,0,34,56,0,0,0,0,0,0,50,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16408,21,7,1,0,0,0.4903905765654061,0.10229386236825791,NA,0.05269683818970862,0,0.008679479231246125,0.09609423434593925,6.199628022318661e-4,0.7575945443273404,0.08431494110353378,0.40685472076883056,1.6153846153846154
123,Richmond city,204214,204214,0,0,urban,522,3862,35,303,17294,11,3030,480,25015,0,25015,15342,95,4138,653,486,0,0,0,578,40,30,358,168,0,0,0,266,17,68,95,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,204214,35,1,1,0,0,0.6133120127923246,0.020867479512292623,NA,0.15438736757945232,0.0013991605036977814,0.012112732360583649,0.6913451928842694,4.3973615830501697e-4,0.1211273236058365,0.019188486907855285,0.48301746915073024,2.6923076923076925
124,Roanoke city,97032,97026,6,0,urban,510,1680,33,406,6188,8,4965,508,13788,0,13788,8429,453,2126,439,283,28,0,14,235,36,129,282,103,0,0,0,86,29,148,57,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,97032,23,6,1,0,0,0.6113286916158979,0.03698868581375109,NA,0.12184508268059181,0.002393385552654482,0.02944589498114302,0.44879605454017985,5.802146794313896e-4,0.36009573542210616,0.03684363214389324,0.6518363596822672,1.7692307692307692
126,Staunton city,23746,22869,877,3.7,urban,182,149,5,29,424,1,1777,316,2701,0,2701,1265,85,381,67,32,0,0,0,13,0,46,81,24,0,0,0,11,0,60,11,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23746,27,5,1,0,0,0.4683450573861533,0.06738245094409478,NA,0.05516475379489078,0.0018511662347278786,0.010736764161421697,0.1569788967049241,3.7023324694557573e-4,0.6579044798222881,0.11699370603480193,0.5256698021123171,2.076923076923077
127,Suffolk city,84585,66287,18298,21.6,urban,392,807,31,227,7899,25,4597,773,14359,0,14359,6997,NA,1720,479,170,0,0,0,304,12,142,395,93,0,0,0,198,20,150,34,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,84585,31,2,1,0,0,0.4872902012674977,0.027299951250087055,NA,0.05620168535413329,0.0021589247162058637,0.01580890034124939,0.5501079462358103,0.001741068319520858,0.3201476425934954,0.05383383243958493,0.5885724098734452,2.3846153846153846
128,Virginia Beach city,437994,431273,6721,1.5,urban,7534,7819,158,4164,16400,348,33647,6450,68986,0,68986,28590,171,7886,1793,784,12,0,75,612,188,765,2947,639,0,0,242,521,279,1686,177,86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,437994,28,2,1,0,0,0.4144319137216247,0.10921056446235468,NA,0.11334183747427014,0.002290319775026817,0.06036007305830168,0.23772939436987214,0.005044501782970457,0.4877366422172615,0.09349723132229727,0.6803355675216721,2.1538461538461537
130,Waynesboro city,21006,20475,531,2.5,urban,95,472,5,35,509,2,1718,345,3086,4,3090,1687,122,316,100,46,0,0,0,18,15,64,90,32,0,0,0,13,0,66,0,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21006,27,5,1,0,0,0.5459546925566343,0.030744336569579287,NA,0.15275080906148866,0.0016181229773462784,0.011326860841423949,0.16472491909385115,6.472491909385113e-4,0.5559870550161812,0.11165048543689321,0.6278141200867189,2.076923076923077
131,Williamsburg city,14067,14068,0,0,urban,1359,1385,43,323,2025,22,6985,884,11667,186,11853,4094,27,1670,330,134,0,0,0,101,25,168,548,68,0,0,18,56,36,406,24,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14067,23,2,1,0,0,0.34539778958913353,0.11465451784358391,NA,0.11684805534463849,0.0036277735594364294,0.02725048510925504,0.17084282460136674,0.0018560701932000337,0.5893022863410107,0.0745802750358559,0.6035606644569861,1.7692307692307692
132,Winchester city,26203,26203,0,0,urban,543,1600,35,93,501,3,1761,392,4385,0,4385,2900,12,609,140,78,0,0,0,23,48,57,134,38,0,0,0,0,28,86,15,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26203,23,4,1,0,0,0.661345496009122,0.12383124287343215,NA,0.36488027366020526,0.00798175598631699,0.02120866590649943,0.11425313568985176,6.841505131128849e-4,0.4015963511972634,0.08939566704675028,0.6840234082969179,1.7692307692307692
135,Franklin city,8582,8303,279,3.3,urban,53,19,3,8,937,1,118,33,1119,0,1119,736,206,131,NA,NA,0,0,0,38,0,0,31,13,0,0,0,22,0,0,0,1,76,0,0,64,0,0,66,0,0,0,0,0,0,8582,20,2,1,0,0,0.6577301161751564,0.04736371760500447,NA,0.016979445933869526,0.002680965147453083,0.0071492403932082215,0.837354781054513,8.936550491510277e-4,0.10545129579982127,0.029490616621983913,0.28649989897465244,1.5384615384615385
136,Chesapeake city,222209,205261,16948,7.6,urban,2873,3705,117,1126,13315,74,19311,2998,40646,10,40656,14626,1337,6755,1048,468,0,0,10,484,66,433,1815,334,0,0,61,473,135,1023,120,46,3164,0,73,1099,215,1579,1240,129,0,0,58,12,51,222209,28,2,1,0,0,0.35975009838646205,0.07066607634789453,0.5747308423052565,0.09113046044864227,0.0028778040141676504,0.02769578905942542,0.3275039354584809,0.0018201495474222747,0.4749852420306966,0.07374065328610784,0.6526090959116613,2.1538461538461537
137,Lexington city,7042,7042,0,0,urban,0,40,0,21,48,0,396,10,515,0,515,89,12753,54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7042,NA,NA,1,0,0,0.17281553398058253,0,NA,0.07766990291262135,0,0.040776699029126215,0.09320388349514563,0,0.7689320388349514,0.019417475728155338,0.3919841643887266,NA
139,Salem city,24802,24802,0,0,urban,558,207,4,84,496,3,2970,189,3953,0,3953,1428,10,558,68,28,0,0,0,0,0,55,177,28,0,0,0,10,0,146,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24802,20,6,1,0,0,0.3612446243359474,0.1411586137111055,NA,0.052365292183152036,0.0010118897040222615,0.021249683784467493,0.12547432329876043,7.589172780166962e-4,0.7513281052365293,0.047811788515051856,0.41428103259082216,1.5384615384615385
142,Poquoson city,12150,11360,790,6.5,urban,169,61,10,41,15,9,1926,43,2105,24,2129,420,121,246,46,11,0,0,0,0,0,40,133,14,0,0,0,0,0,118,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12150,24,2,1,0,0,0.1972757162987318,0.07937999060591827,NA,0.028651949271958667,0.004697040864255519,0.01925786754344763,0.007045561296383279,0.004227336777829967,0.904650070455613,0.020197275716298733,0.17991894791579566,1.8461538461538463
143,Manassas city,37821,37821,0,0,urban,517,5024,31,281,840,11,1245,388,7820,0,7820,4833,1804,943,230,101,31,0,10,28,125,50,225,67,0,0,16,23,97,72,12,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37821,31,4,1,0,0,0.6180306905370844,0.06611253196930947,NA,0.6424552429667519,0.003964194373401534,0.03593350383631713,0.10741687979539642,0.0014066496163682865,0.15920716112531969,0.049616368286445015,0.5465952603659054,2.3846153846153846
144,Manassas Park city,14273,14273,0,0,urban,298,2306,6,219,360,2,631,199,3723,0,3723,2272,195,435,97,59,20,0,0,0,64,20,121,48,0,0,13,11,56,38,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14273,24,4,1,0,0,0.6102605425731936,0.08004297609454741,NA,0.6193929626645178,0.0016116035455278,0.058823529411764705,0.09669621273166801,5.372011818426001e-4,0.16948697287134032,0.05345151759333871,0.5719562080753471,1.8461538461538463
202,Colonial Beach,NA,NA,NA,NA,NA,68,20,4,6,135,2,405,68,640,0,640,329,NA,97,24,20,0,0,0,0,0,0,27,20,0,0,0,0,0,17,0,0,50,0,0,11,0,25,42,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0.5140625,0.10625,0.5294117647058824,0.03125,0.00625,0.009375,0.2109375,0.003125,0.6328125,0.10625,0.5426513671875001,NA
207,Westpoint,NA,NA,NA,NA,NA,210,43,7,18,87,0,582,75,812,0,812,273,701,70,24,16,0,0,0,0,0,20,49,0,0,0,0,0,0,43,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,3,NA,NA,NA,0.33620689655172414,0.25862068965517243,NA,0.05295566502463054,0.008620689655172414,0.022167487684729065,0.10714285714285714,0,0.7167487684729064,0.09236453201970443,0.4628903880220342,1.3076923076923077
218,Virginia School for the Deaf and Blind-Staunton,NA,NA,NA,NA,NA,NA,14,0,7,29,0,34,2,86,0,86,55,78,86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6395348837209303,NA,NA,0.16279069767441862,0,0.08139534883720931,0.3372093023255814,0,0.3953488372093023,0.023255813953488372,0.6963223363980531,NA
917,Dept of juvenile justice,NA,NA,NA,NA,NA,NA,18,0,0,101,0,18,0,137,0,137,137,NA,74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,0.13138686131386862,0,0,0.7372262773722628,0,0.13138686131386862,0,0.421972401300016,NA
NA,Fairfax City,22565,22565,0,0,urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42,28,0,0,0,38,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22565,NA,NA,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
